Wavelength,Alexa Fluor 514 (EX),Wavelength,Alexa Fluor 514 (EM)
577,0.00445,577,0.40428
578,0.00424,578,0.39761
579,0.00419,579,0.38742
580,0.00406,580,0.38238
581,0.00413,581,0.37647
582,0.0041,582,0.36761
583,0.00383,583,0.36137
584,0.00377,584,0.35092
585,0.00383,585,0.34455
586,0.00365,586,0.33375
587,0.00363,587,0.3299
588,0.00376,588,0.32613
589,0.0038,589,0.31309
590,0.00368,590,0.30695
591,0.00353,591,0.2984
592,0.00344,592,0.29136
593,0.00365,593,0.28147
594,0.00355,594,0.2728
595,0.00354,595,0.26574
596,0.00357,596,0.25732
597,0.00355,597,0.24943
598,0.00337,598,0.24219
599,0.00341,599,0.23603
600,0.00354,600,0.22707
601,,601,0.21872
602,,602,0.21155
603,,603,0.20371
604,,604,0.19923
605,,605,0.19026
606,,606,0.18331
607,,607,0.17685
608,,608,0.16978
609,,609,0.16325
610,,610,0.15979
611,,611,0.15179
612,,612,0.14562
613,,613,0.1402
614,,614,0.13412
615,,615,0.13103
616,,616,0.12305
617,,617,0.11941
618,,618,0.11496
619,,619,0.11096
620,,620,0.10591
621,,621,0.1015
622,,622,0.0996
623,,623,0.09381
624,,624,0.09218
625,,625,0.08804
626,,626,0.08528
627,,627,0.08224
628,,628,0.07849
629,,629,0.07634
630,,630,0.07501
631,,631,0.07232
632,,632,0.06826
633,,633,0.06611
634,,634,0.06415
635,,635,0.06236
636,,636,0.05936
637,,637,0.05769
638,,638,0.05479
639,,639,0.05397
640,,640,0.05242
641,,641,0.05057
642,,642,0.04893
643,,643,0.04749
644,,644,0.04449
645,,645,0.04372
646,,646,0.04189
647,,647,0.04106
648,,648,0.03889
649,,649,0.03801
650,,650,0.03629
651,,651,0.03314
652,,652,0.03382
653,,653,0.03337
654,,654,0.0312
655,,655,0.02954
656,,656,0.02844
657,,657,0.0276
658,,658,0.02584
659,,659,0.02494
660,,660,0.02371
661,,661,0.02368
662,,662,0.02208
663,,663,0.02107
664,,664,0.01778
665,,665,0.01931
666,,666,0.01723
667,,667,0.01611
668,,668,0.01597
669,,669,0.01445
670,,670,0.01359
671,,671,0.01234
672,,672,0.01178
673,,673,0.01012
674,,674,0.01025
675,,675,0.00975
