Wavelength,Alexa Fluor 350 (EX),Wavelength,Alexa Fluor 350 (EM),Wavelength,Alexa Fluor 350-2P (2P)
483,,483,0.48517,483,
484,,484,0.46847,484,
485,,485,0.45353,485,
486,,486,0.43659,486,
487,,487,0.42284,487,
488,,488,0.40909,488,
489,,489,0.39543,489,
490,,490,0.38151,490,
491,,491,0.36825,491,
492,,492,0.3541,492,
493,,493,0.34241,493,
494,,494,0.33286,494,
495,,495,0.32185,495,
496,,496,0.31048,496,
497,,497,0.29904,497,
498,,498,0.28781,498,
499,,499,0.27654,499,
500,,500,0.26771,500,
501,,501,0.25727,501,
502,,502,0.24849,502,
503,,503,0.23653,503,
504,,504,0.22746,504,
505,,505,0.21725,505,
506,,506,0.20959,506,
507,,507,0.20026,507,
508,,508,0.19414,508,
509,,509,0.18626,509,
510,,510,0.17714,510,
511,,511,0.17187,511,
512,,512,0.16149,512,
513,,513,0.15593,513,
514,,514,0.15029,514,
515,,515,0.1443,515,
516,,516,0.13756,516,
517,,517,0.12905,517,
518,,518,0.12412,518,
519,,519,0.11911,519,
520,,520,0.11396,520,
521,,521,0.10587,521,
522,,522,0.10282,522,
523,,523,0.10068,523,
524,,524,0.09572,524,
525,,525,0.09089,525,
526,,526,0.0907,526,
527,,527,0.08567,527,
528,,528,0.08236,528,
529,,529,0.07883,529,
530,,530,0.07745,530,
531,,531,0.07447,531,
532,,532,0.07153,532,
533,,533,0.06986,533,
534,,534,0.06672,534,
535,,535,0.06359,535,
536,,536,0.06095,536,
537,,537,0.0586,537,
538,,538,0.05709,538,
539,,539,0.05429,539,
540,,540,0.05181,540,
541,,541,0.05042,541,
542,,542,0.04969,542,
543,,543,0.0478,543,
544,,544,0.04503,544,
545,,545,0.04331,545,
546,,546,0.04201,546,
547,,547,0.04095,547,
548,,548,0.03866,548,
549,,549,0.03707,549,
550,,550,0.03647,550,
551,,551,0.036,551,
552,,552,0.0338,552,
553,,553,0.0327,553,
554,,554,0.03171,554,
555,,555,0.0299,555,
556,,556,0.0289,556,
557,,557,0.02767,557,
558,,558,0.02683,558,
559,,559,0.02612,559,
560,,560,0.02534,560,
561,,561,0.0242,561,
562,,562,0.02368,562,
563,,563,0.02332,563,
564,,564,0.02237,564,
565,,565,0.02136,565,
566,,566,0.02128,566,
567,,567,0.02017,567,
568,,568,0.01888,568,
569,,569,0.01931,569,
570,,570,0.01768,570,
571,,571,0.01751,571,
572,,572,0.01642,572,
573,,573,0.01685,573,
574,,574,0.01522,574,
575,,575,0.01501,575,
576,,576,0.01419,576,
577,,577,0.01389,577,
578,,578,0.01397,578,
579,,579,0.01331,579,
580,,580,0.01274,580,
581,,581,0.01208,581,
582,,582,0.01224,582,
583,,583,0.01215,583,
584,,584,0.01223,584,
