wavelength,ATTO 594 ab,wavelength,ATTO 594 em
300,0.079581819,300,
301,0.075678789,301,
302,0.071695672,302,
303,0.067632469,303,
304,0.063489179,304,
305,0.05887879,305,
306,0.054437231,306,
307,0.050376623,307,
308,0.046913419,308,
309,0.044177489,309,
310,0.041835497,310,
311,0.039757574,311,
312,0.037926406,312,
313,0.036298701,313,
314,0.034987013,314,
315,0.033926407,315,
316,0.033160174,316,
317,0.032645023,317,
318,0.032251084,318,
319,0.032047621,319,
320,0.031969699,320,
321,0.031909093,321,
322,0.032000002,322,
323,0.032000002,323,
324,0.031909093,324,
325,0.031969699,325,
326,0.032047621,326,
327,0.032251084,327,
328,0.032645023,328,
329,0.033251083,329,
330,0.034047619,330,
331,0.034969697,331,
332,0.035818181,332,
333,0.036969697,333,
334,0.038138528,334,
335,0.039372294,335,
336,0.040627706,336,
337,0.041861472,337,
338,0.043030304,338,
339,0.044090909,339,
340,0.045090909,340,
341,0.046030303,341,
342,0.046952381,342,
343,0.047658008,343,
344,0.048233765,344,
345,0.048766233,345,
346,0.049341991,346,
347,0.050047619,347,
348,0.050878788,348,
349,0.051878788,349,
350,0.05304762,350,
351,0.054341992,351,
352,0.055675325,352,
353,0.057203463,353,
354,0.058796537,354,
355,0.060415584,355,
356,0.061688312,356,
357,0.062904763,357,
358,0.063779222,358,
359,0.064354979,359,
360,0.064718615,360,
361,0.065090908,361,
362,0.065402596,362,
363,0.065627704,363,
364,0.065740259,364,
365,0.066138528,365,
366,0.066419915,366,
367,0.066848487,367,
368,0.067645024,368,
369,0.068562773,369,
370,0.069735932,370,
371,0.070969698,371,
372,0.072311689,372,
373,0.073809524,373,
374,0.075073593,374,
375,0.076134199,375,
376,0.076774892,376,
377,0.076714285,377,
378,0.07608658,378,
379,0.07491342,379,
380,0.073194805,380,
381,0.071103896,381,
382,0.06861039,382,
383,0.06595238,383,
384,0.063077922,384,
385,0.060220779,385,
386,0.057662337,386,
387,0.055640692,387,
388,0.053883116,388,
389,0.05269697,389,
390,0.051883117,390,
391,0.051731602,391,
392,0.051692641,392,
393,0.051991342,393,
394,0.052584415,394,
395,0.0534329,395,
396,0.054077922,396,
397,0.054922079,397,
