wavelength,Alexa Fluor 750 ex,wavelength,Alexa Fluor 750 em
573,0.0332,573,
574,0.0341,574,
575,0.0352,575,
576,0.0362,576,
577,0.0373,577,
578,0.0385,578,
579,0.0395,579,
580,0.0408,580,
581,0.0419,581,
582,0.0432,582,
583,0.0446,583,
584,0.0457,584,
585,0.0474,585,
586,0.0486,586,
587,0.0503,587,
588,0.0517,588,
589,0.0535,589,
590,0.0548,590,
591,0.0567,591,
592,0.0583,592,
593,0.0602,593,
594,0.0619,594,
595,0.0638,595,
596,0.0656,596,
597,0.0676,597,
598,0.0692,598,
599,0.0713,599,
600,0.0731,600,
601,0.0751,601,
602,0.0769,602,
603,0.079,603,
604,0.0809,604,
605,0.0831,605,
606,0.0851,606,
607,0.0872,607,
608,0.0891,608,
609,0.0914,609,
610,0.0934,610,
611,0.0956,611,
612,0.0977,612,
613,0.1,613,
614,0.1023,614,
615,0.1044,615,
616,0.1068,616,
617,0.1092,617,
618,0.1115,618,
619,0.1141,619,
620,0.1167,620,
621,0.1193,621,
622,0.122,622,
623,0.125,623,
624,0.1279,624,
625,0.1309,625,
626,0.1341,626,
627,0.1373,627,
628,0.1407,628,
629,0.1442,629,
630,0.1478,630,
631,0.1514,631,
632,0.1553,632,
633,0.159,633,
634,0.1633,634,
635,0.1675,635,
636,0.1721,636,
637,0.1765,637,
638,0.1815,638,
639,0.1863,639,
640,0.1912,640,
641,0.1962,641,
642,0.2012,642,
643,0.2065,643,
644,0.2118,644,
645,0.2172,645,
646,0.2226,646,
647,0.2279,647,
648,0.2332,648,
649,0.2385,649,
650,0.244,650,
651,0.249,651,
652,0.2541,652,
653,0.2592,653,
654,0.2644,654,
655,0.269,655,
656,0.2741,656,
657,0.2788,657,
658,0.2836,658,
659,0.2882,659,
660,0.2928,660,
661,0.2973,661,
662,0.302,662,
663,0.3066,663,
664,0.3115,664,
665,0.3165,665,
666,0.3216,666,
667,0.327,667,
668,0.3324,668,
669,0.3377,669,
670,0.3435,670,
671,0.3492,671,
672,0.3552,672,
673,0.3611,673,
674,0.3672,674,
675,0.3732,675,
676,0.3796,676,
677,0.3858,677,
678,0.3921,678,
679,0.3983,679,
680,0.4044,680,
681,0.4104,681,
682,0.4167,682,
683,0.4226,683,
684,0.4284,684,
685,0.4336,685,
686,0.4389,686,
687,0.4439,687,
688,0.4486,688,
689,0.453,689,
690,0.4574,690,
691,0.461,691,
692,0.4646,692,
693,0.4678,693,
694,0.4708,694,
695,0.4734,695,
696,0.4758,696,
697,0.4777,697,
698,0.4793,698,
699,0.4808,699,
700,0.482,700,
701,0.4831,701,
702,0.484,702,
703,0.4849,703,
704,0.4859,704,
705,0.4866,705,
706,0.4877,706,
707,0.4887,707,
708,0.4901,708,
709,0.4916,709,
710,0.4935,710,
711,0.4958,711,
712,0.4986,712,
713,0.5017,713,
714,0.506,714,
715,0.5105,715,
716,0.5161,716,
717,0.522,717,
718,0.5291,718,
719,0.5369,719,
720,0.5457,720,
721,0.5554,721,
722,0.5656,722,
723,0.5774,723,
724,0.59,724,
725,0.6037,725,0.029
726,0.6181,726,0.0368
727,0.634,727,0.041
728,0.65,728,0.0463
729,0.6672,729,0.0517
730,0.685,730,0.059
731,0.7034,731,0.0638
732,0.7226,732,0.072
733,0.7413,733,0.078
734,0.7608,734,0.0853
735,0.7805,735,0.0943
736,0.8005,736,0.1059
737,0.8197,737,0.1163
738,0.8393,738,0.1262
739,0.8576,739,0.138
740,0.8756,740,0.1562
741,0.8927,741,0.167
742,0.9091,742,0.1825
743,0.925,743,0.198
744,0.9395,744,0.2192
745,0.9527,745,0.2436
746,0.9644,746,0.2704
747,0.9745,747,0.285
748,0.9829,748,0.3179
749,0.9899,749,0.3379
750,0.995,750,0.3735
751,0.9986,751,0.4017
752,1,752,0.4271
753,0.9998,753,0.4565
754,0.9973,754,0.4882
755,0.9927,755,0.5246
756,0.9864,756,0.5472
757,0.9776,757,0.5852
758,0.9657,758,0.619
759,0.9525,759,0.6467
760,0.9367,760,0.6741
761,0.9189,761,0.7116
762,0.8989,762,0.7338
763,0.8784,763,0.7793
764,0.8546,764,0.7976
765,0.8318,765,0.8284
766,0.807,766,0.849
767,0.7826,767,0.8719
768,0.7572,768,0.8999
769,0.7316,769,0.9144
770,0.7058,770,0.932
771,0.6793,771,0.949
772,0.6535,772,0.9675
773,0.6269,773,0.9833
774,0.6005,774,0.9903
775,0.5748,775,0.9972
776,0.5497,776,1
777,0.5245,777,0.9985
778,0.5002,778,0.9954
779,0.4762,779,0.9929
780,0.4525,780,0.9908
781,0.4293,781,0.9832
782,0.4062,782,0.9725
783,0.3841,783,0.9677
784,0.3626,784,0.9597
785,0.3423,785,0.944
786,0.3225,786,0.9206
787,0.3036,787,0.9113
788,0.2849,788,0.892
789,0.2677,789,0.8795
790,0.2508,790,0.8567
791,0.235,791,0.8377
792,0.2204,792,0.8118
793,0.2062,793,0.7801
794,0.1933,794,0.7537
795,0.1806,795,0.7289
796,0.1686,796,0.7069
797,0.1578,797,0.6791
798,0.1479,798,0.6478
799,0.1385,799,0.6196
800,0.1298,800,0.5809
801,0.1217,801,0.5662
802,0.1139,802,0.5205
803,0.1069,803,0.5066
804,0.1001,804,0.4814
805,0.0939,805,0.4552
806,0.088,806,0.4459
807,0.0827,807,0.4136
808,0.0776,808,0.3968
809,0.0728,809,0.3846
810,0.0682,810,0.3597
811,0.0642,811,0.3467
812,0.0603,812,0.3314
813,0.0571,813,0.3193
814,0.0532,814,0.3135
815,0.0502,815,0.2867
816,0.0471,816,0.2707
817,0.0444,817,0.2687
818,0.0418,818,0.26
819,0.0393,819,0.2542
820,0.0372,820,0.229
821,0.0353,821,0.233
822,0.0333,822,0.2152
823,0.0315,823,0.2087
824,0.0299,824,0.1947
825,0.0283,825,0.1865
826,0.0271,826,0.1889
827,0.0256,827,0.1731
828,0.0243,828,0.1667
829,0.0233,829,0.1589
830,0.0221,830,0.1483
831,0.021,831,0.1458
832,0.0202,832,0.1414
833,0.0193,833,0.1446
834,0.0184,834,0.1384
835,0.0178,835,0.1413
836,0.017,836,0.1361
837,0.0161,837,0.1328
838,0.0156,838,0.13
839,0.0152,839,0.1246
840,0.0144,840,0.122
841,0.0139,841,0.1233
842,0.0134,842,0.1119
843,0.0127,843,0.1122
844,0.0123,844,0.1029
845,0.0117,845,0.1077
846,0.0113,846,0.0969
847,0.0109,847,0.0987
848,0.0105,848,0.0907
849,0.0102,849,0.092
850,0.0099,850,0.0849
851,0.0094,851,0.0812
852,0.0091,852,0.0872
853,0.0089,853,0.0753
854,0.0086,854,0.0708
855,0.0083,855,0.0661
856,0.0081,856,0.0655
857,0.0079,857,0.0631
858,0.0076,858,0.0614
859,0.0074,859,0.0612
860,0.0071,860,0.0595
861,0.0069,861,
862,0.0068,862,
863,0.0066,863,
864,0.0064,864,
865,0.0062,865,
866,0.006,866,
867,0.0058,867,
868,0.0058,868,
869,0.0057,869,
870,0.0053,870,
