wavelength,Alexa Fluor 750 ex,wavelength,Alexa Fluor 750 em
400,0.0213,400,
401,0.0216,401,
402,0.0221,402,
403,0.0225,403,
404,0.0227,404,
405,0.0229,405,
406,0.0231,406,
407,0.0232,407,
408,0.0234,408,
409,0.0234,409,
410,0.0237,410,
411,0.0238,411,
412,0.0239,412,
413,0.0241,413,
414,0.0243,414,
415,0.0247,415,
416,0.025,416,
417,0.0252,417,
418,0.0256,418,
419,0.0262,419,
420,0.0263,420,
421,0.0266,421,
422,0.0269,422,
423,0.0269,423,
424,0.027,424,
425,0.0265,425,
426,0.0264,426,
427,0.0257,427,
428,0.0253,428,
429,0.0243,429,
430,0.0234,430,
431,0.0223,431,
432,0.0212,432,
433,0.02,433,
434,0.0188,434,
435,0.0174,435,
436,0.0164,436,
437,0.0151,437,
438,0.014,438,
439,0.0129,439,
440,0.0119,440,
441,0.0108,441,
442,0.0104,442,
443,0.0092,443,
444,0.0088,444,
445,0.0083,445,
446,0.0078,446,
447,0.0073,447,
448,0.007,448,
449,0.0068,449,
450,0.0063,450,
451,0.0062,451,
452,0.0058,452,
453,0.0055,453,
454,0.0055,454,
455,0.0055,455,
456,0.0051,456,
457,0.0051,457,
458,0.0049,458,
459,0.0048,459,
460,0.0046,460,
461,0.0045,461,
462,0.0044,462,
463,0.0045,463,
464,0.0041,464,
465,0.0041,465,
466,0.0039,466,
467,0.0038,467,
468,0.0035,468,
469,0.0036,469,
470,0.0033,470,
471,0.0031,471,
472,0.0029,472,
473,0.0028,473,
474,0.0025,474,
475,0.0026,475,
476,0.0023,476,
477,0.0022,477,
478,0.0021,478,
479,0.002,479,
480,0.0017,480,
481,0.0018,481,
482,0.0016,482,
483,0.0016,483,
484,0.0013,484,
485,0.0014,485,
486,0.0013,486,
487,0.0012,487,
488,0.001,488,
489,0.001,489,
490,0.001,490,
491,0.001,491,
492,0.001,492,
493,0.001,493,
494,0.0009,494,
495,0.001,495,
496,0.0012,496,
497,0.0012,497,
498,0.0013,498,
499,0.0012,499,
500,0.0012,500,
501,0.0013,501,
502,0.0015,502,
503,0.0015,503,
504,0.0018,504,
505,0.0017,505,
506,0.0019,506,
507,0.002,507,
508,0.0024,508,
509,0.0024,509,
510,0.0026,510,
511,0.0026,511,
512,0.0029,512,
513,0.0029,513,
514,0.0033,514,
515,0.0034,515,
516,0.0037,516,
517,0.0037,517,
518,0.004,518,
519,0.0041,519,
520,0.0045,520,
521,0.0047,521,
522,0.0051,522,
523,0.0054,523,
524,0.0057,524,
525,0.0059,525,
526,0.0062,526,
527,0.0065,527,
528,0.0068,528,
529,0.0072,529,
530,0.0075,530,
531,0.008,531,
532,0.0083,532,
533,0.0086,533,
534,0.009,534,
535,0.0095,535,
536,0.0098,536,
537,0.0103,537,
538,0.0109,538,
539,0.0111,539,
540,0.0118,540,
541,0.0123,541,
542,0.0128,542,
543,0.0131,543,
544,0.0138,544,
545,0.0142,545,
546,0.0147,546,
547,0.0154,547,
548,0.0158,548,
549,0.0164,549,
550,0.0168,550,
551,0.0175,551,
552,0.0179,552,
553,0.0188,553,
554,0.0194,554,
555,0.02,555,
556,0.0206,556,
557,0.0214,557,
558,0.0219,558,
559,0.0227,559,
560,0.0232,560,
561,0.0237,561,
562,0.0246,562,
563,0.0251,563,
564,0.0259,564,
565,0.0266,565,
566,0.0276,566,
567,0.0281,567,
568,0.0291,568,
569,0.0296,569,
570,0.0306,570,
571,0.0313,571,
572,0.0324,572,
