wavelength,mCherry ex,wavelength,mCherry em,wavelength,mCherry 2p
545,0.5528,545,,545,
546,0.5555,546,,546,
547,0.5656,547,,547,
548,0.5695,548,,548,
549,0.5751,549,,549,
550,0.5784,550,0.0012,550,
551,0.583,551,0.0014,551,
552,0.5866,552,0.0015,552,
553,0.5879,553,0.0019,553,
554,0.5941,554,0.0023,554,
555,0.5994,555,0.0026,555,
556,0.6041,556,0.0033,556,
557,0.6094,557,0.0039,557,
558,0.6154,558,0.0045,558,
559,0.6225,559,0.0052,559,
560,0.6293,560,0.0063,560,
561,0.6394,561,0.0087,561,
562,0.6473,562,0.0157,562,
563,0.6545,563,0.0253,563,
564,0.6693,564,0.0291,564,
565,0.6807,565,0.0258,565,
566,0.6918,566,0.0201,566,
567,0.703,567,0.0193,567,
568,0.7201,568,0.0225,568,
569,0.733,569,0.0256,569,
570,0.7505,570,0.0298,570,
571,0.77,571,0.0345,571,
572,0.7918,572,0.0416,572,
573,0.8068,573,0.0479,573,
574,0.8215,574,0.0552,574,
575,0.8447,575,0.0654,575,
576,0.8588,576,0.0752,576,
577,0.8829,577,0.0894,577,
578,0.9037,578,0.1022,578,
579,0.9207,579,0.1189,579,
580,0.9414,580,0.1376,580,
581,0.9552,581,0.1595,581,
582,0.9673,582,0.1831,582,
583,0.9837,583,0.2111,583,
584,0.9925,584,0.2366,584,
585,0.9954,585,0.2654,585,
586,0.9964,586,0.2974,586,
587,1,587,0.3349,587,
588,0.9922,588,0.3687,588,
589,0.9835,589,0.4057,589,
590,0.9711,590,0.447,590,
591,0.9455,591,0.488,591,
592,0.925,592,0.5307,592,
593,0.9009,593,0.5715,593,
594,0.8668,594,0.6128,594,
595,0.8361,595,0.655,595,
596,0.799,596,0.6917,596,
597,0.7629,597,0.7327,597,
598,0.7237,598,0.7667,598,
599,0.6819,599,0.8078,599,
600,0.6389,600,0.8388,600,
601,0.6011,601,0.8688,601,
602,0.5572,602,0.8957,602,
603,0.5117,603,0.9197,603,
604,0.4703,604,0.9368,604,
605,0.4303,605,0.9605,605,
606,0.3928,606,0.9738,606,
607,0.3558,607,0.9799,607,
608,0.3193,608,0.9889,608,
609,0.2877,609,0.9956,609,
610,0.2586,610,1,610,
611,0.2338,611,0.9905,611,
612,0.2094,612,0.9909,612,
613,0.1834,613,0.9757,613,
614,0.1619,614,0.968,614,
615,0.1401,615,0.9553,615,
616,0.1215,616,0.9425,616,
617,0.1066,617,0.931,617,
618,0.0921,618,0.9031,618,
619,0.0798,619,0.8924,619,
620,0.0701,620,0.8709,620,
621,0.0611,621,0.8518,621,
622,0.0521,622,0.8305,622,
623,0.0455,623,0.8119,623,
624,0.0407,624,0.795,624,
625,0.0347,625,0.7723,625,
626,0.0311,626,0.7536,626,
627,0.0263,627,0.7389,627,
628,0.0229,628,0.7192,628,
629,0.0201,629,0.7064,629,
630,0.0172,630,0.6904,630,
631,0.015,631,0.6737,631,
632,0.0138,632,0.662,632,
633,0.0117,633,0.65,633,
634,0.0099,634,0.6335,634,
635,0.0086,635,0.6157,635,
636,0.0078,636,0.6053,636,
637,0.0067,637,0.5957,637,
638,0.0061,638,0.5824,638,
639,0.0051,639,0.5763,639,
640,0.0043,640,0.5621,640,
641,0.0036,641,0.554,641,
642,0.0035,642,0.5428,642,
643,0.0032,643,0.538,643,
644,0.0028,644,0.5349,644,
645,0.0024,645,0.5214,645,
646,0.002,646,0.514,646,
647,0.0018,647,0.5032,647,
648,0.0018,648,0.4991,648,
649,0.0015,649,0.4887,649,
650,0.0012,650,0.4834,650,
651,,651,0.4766,651,
652,,652,0.4707,652,
653,,653,0.4618,653,
654,,654,0.4554,654,
655,,655,0.4517,655,
656,,656,0.4402,656,
657,,657,0.4328,657,
658,,658,0.4226,658,
659,,659,0.416,659,
660,,660,0.4128,660,
661,,661,0.4062,661,
662,,662,0.4,662,
663,,663,0.3916,663,
664,,664,0.3858,664,
665,,665,0.3782,665,
666,,666,0.3705,666,
667,,667,0.3646,667,
668,,668,0.359,668,
669,,669,0.354,669,
670,,670,0.3502,670,
671,,671,0.3396,671,
672,,672,0.3364,672,
673,,673,0.3293,673,
674,,674,0.3201,674,
675,,675,0.314,675,
676,,676,0.3091,676,
677,,677,0.3047,677,
678,,678,0.2968,678,
679,,679,0.2864,679,
680,,680,0.2786,680,
681,,681,0.2757,681,
682,,682,0.2675,682,
683,,683,0.2602,683,
684,,684,0.252,684,
685,,685,0.2466,685,
686,,686,0.2398,686,
687,,687,0.2325,687,
688,,688,0.2308,688,
689,,689,0.225,689,
690,,690,0.2166,690,
691,,691,0.2064,691,
692,,692,0.2065,692,
693,,693,0.1977,693,
694,,694,0.1952,694,
695,,695,0.1903,695,
696,,696,0.1848,696,
697,,697,0.1801,697,
698,,698,0.1755,698,
699,,699,0.1694,699,
700,,700,0.1665,700,
701,,701,0.1631,701,
702,,702,0.1579,702,
703,,703,0.1538,703,
704,,704,0.1487,704,
705,,705,0.1451,705,
706,,706,0.1425,706,
707,,707,0.1417,707,
708,,708,0.1361,708,
709,,709,0.1354,709,
710,,710,0.1284,710,
711,,711,0.1258,711,
712,,712,0.1245,712,
713,,713,0.1219,713,
714,,714,0.1196,714,
715,,715,0.1157,715,
716,,716,0.1112,716,
717,,717,0.1096,717,
718,,718,0.1064,718,
719,,719,0.1044,719,
720,,720,0.1018,720,
721,,721,0.0996,721,
722,,722,0.0968,722,
723,,723,0.096,723,
724,,724,0.0942,724,
725,,725,0.0921,725,
726,,726,0.0888,726,
727,,727,0.0874,727,
728,,728,0.0862,728,
729,,729,0.0829,729,
730,,730,0.0814,730,
731,,731,0.0791,731,
732,,732,0.077,732,
733,,733,0.078,733,
734,,734,0.0728,734,
735,,735,0.0748,735,
736,,736,0.0709,736,
737,,737,0.0733,737,
738,,738,0.0682,738,
739,,739,0.0666,739,
740,,740,0.0664,740,3.6957
741,,741,0.0663,741,3.6084
742,,742,0.0612,742,3.5259
743,,743,0.0628,743,3.4483
744,,744,0.0603,744,3.3756
745,,745,0.0606,745,3.3028
746,,746,0.0569,746,3.2388
747,,747,0.0558,747,3.1954
748,,748,0.056,748,3.1606
749,,749,0.0559,749,3.1235
750,,750,0.0536,750,3.0808
751,,751,0.0513,751,3.0174
752,,752,0.0523,752,2.9458
753,,753,0.05,753,2.8849
754,,754,0.0496,754,2.8382
755,,755,0.048,755,2.8044
756,,756,0.0454,756,2.7736
757,,757,0.0456,757,2.7427
758,,758,0.0437,758,2.7019
759,,759,0.0434,759,2.6378
760,,760,0.0403,760,2.5744
761,,761,0.0414,761,2.5316
762,,762,0.0398,762,2.4913
763,,763,0.0401,763,2.4443
764,,764,0.0395,764,2.3939
765,,765,0.0359,765,2.3384
766,,766,0.038,766,2.2784
767,,767,0.0368,767,2.2193
768,,768,0.0339,768,2.1628
769,,769,0.0335,769,2.1064
770,,770,0.0336,770,2.0493
771,,771,0.0329,771,1.9958
772,,772,0.0324,772,1.9424
773,,773,0.0307,773,1.8843
774,,774,0.0305,774,1.8267
775,,775,0.0295,775,1.7705
776,,776,0.03,776,1.7134
777,,777,0.0295,777,1.6535
778,,778,0.0273,778,1.6019
779,,779,0.0263,779,1.5692
780,,780,0.027,780,1.5445
781,,781,0.0253,781,1.5136
782,,782,0.025,782,1.4813
783,,783,0.0264,783,1.4498
784,,784,0.0245,784,1.4248
785,,785,0.024,785,1.4118
786,,786,0.0234,786,1.4077
787,,787,0.0218,787,1.4102
788,,788,0.0216,788,1.4038
789,,789,0.0217,789,1.3786
790,,790,0.0199,790,1.3393
791,,791,0.0211,791,1.2849
792,,792,0.02,792,1.2224
793,,793,0.0196,793,1.1613
794,,794,0.0178,794,1.1015
795,,795,0.0175,795,1.0485
796,,796,0.0199,796,1.001
797,,797,0.0183,797,0.9571
798,,798,0.0166,798,0.9129
799,,799,0.0163,799,0.8664
800,,800,0.0167,800,0.8196
801,,801,,801,0.7713
802,,802,,802,0.7243
803,,803,,803,0.6816
804,,804,,804,0.64
805,,805,,805,0.597
806,,806,,806,0.5548
807,,807,,807,0.513
808,,808,,808,0.4712
809,,809,,809,0.4283
810,,810,,810,0.3879
811,,811,,811,0.3514
812,,812,,812,0.3195
813,,813,,813,0.2917
814,,814,,814,0.2679
815,,815,,815,0.2464
816,,816,,816,0.228
817,,817,,817,0.2115
818,,818,,818,0.197
819,,819,,819,0.1831
820,,820,,820,0.1702
821,,821,,821,0.1576
822,,822,,822,0.146
823,,823,,823,0.1346
824,,824,,824,0.1239
825,,825,,825,0.1138
826,,826,,826,0.1045
827,,827,,827,0.0959
828,,828,,828,0.0884
829,,829,,829,0.0819
830,,830,,830,0.0761
831,,831,,831,0.0706
832,,832,,832,0.0657
833,,833,,833,0.061
834,,834,,834,0.0568
835,,835,,835,0.0529
836,,836,,836,0.0493
837,,837,,837,0.0458
838,,838,,838,0.0427
839,,839,,839,0.0399
840,,840,,840,0.0374
841,,841,,841,0.0349
842,,842,,842,0.0327
843,,843,,843,0.0307
844,,844,,844,0.029
845,,845,,845,0.0277
