wavelength,mCherry ex,wavelength,mCherry em,wavelength,mCherry 2p
1264,,1264,,1264,0.0088
1265,,1265,,1265,0.0083
1266,,1266,,1266,0.0078
1267,,1267,,1267,0.0074
1268,,1268,,1268,0.0069
1269,,1269,,1269,0.0065
1270,,1270,,1270,0.0061
1271,,1271,,1271,0.0057
1272,,1272,,1272,0.0054
1273,,1273,,1273,0.005
1274,,1274,,1274,0.0047
1275,,1275,,1275,0.0045
1276,,1276,,1276,0.0042
1277,,1277,,1277,0.0039
1278,,1278,,1278,0.0037
1279,,1279,,1279,0.0034
1280,,1280,,1280,0.0032
1281,,1281,,1281,0.003
1282,,1282,,1282,0.0029
1283,,1283,,1283,0.0028
1284,,1284,,1284,0.0026
1285,,1285,,1285,0.0025
1286,,1286,,1286,0.0023
1287,,1287,,1287,0.0022
1288,,1288,,1288,0.0021
1289,,1289,,1289,0.002
1290,,1290,,1290,0.0019
1291,,1291,,1291,0.0018
1292,,1292,,1292,0.0017
1293,,1293,,1293,0.0016
1294,,1294,,1294,0.0015
1295,,1295,,1295,0.0014
1296,,1296,,1296,0.0013
1297,,1297,,1297,0.0013
1298,,1298,,1298,0.0012
1299,,1299,,1299,0.0011
1300,,1300,,1300,0.001
1301,,1301,,1301,0.001
1302,,1302,,1302,0.0009
1303,,1303,,1303,0.0009
1304,,1304,,1304,0.0008
1305,,1305,,1305,0.0008
1306,,1306,,1306,0.0007
1307,,1307,,1307,0.0007
1308,,1308,,1308,0.0006
1309,,1309,,1309,0.0006
1310,,1310,,1310,0.0006
1311,,1311,,1311,0.0005
1312,,1312,,1312,0.0005
1313,,1313,,1313,0.0005
1314,,1314,,1314,0.0004
1315,,1315,,1315,0.0004
1316,,1316,,1316,0.0004
1317,,1317,,1317,0.0004
1318,,1318,,1318,0.0003
1319,,1319,,1319,0.0003
1320,,1320,,1320,0.0003
1321,,1321,,1321,0.0003
1322,,1322,,1322,0.0003
1323,,1323,,1323,0.0003
1324,,1324,,1324,0.0002
1325,,1325,,1325,0.0002
1326,,1326,,1326,0.0002
1327,,1327,,1327,0.0002
1328,,1328,,1328,0.0002
1329,,1329,,1329,0.0002
1330,,1330,,1330,0.0002
1331,,1331,,1331,0.0002
1332,,1332,,1332,0.0002
1333,,1333,,1333,0.0001
1334,,1334,,1334,0.0001
1335,,1335,,1335,0.0001
1336,,1336,,1336,0.0001
1337,,1337,,1337,0.0001
1338,,1338,,1338,0.0001
1339,,1339,,1339,0.0001
1340,,1340,,1340,0.0001
1341,,1341,,1341,0.0001
1342,,1342,,1342,0.0001
1343,,1343,,1343,0.0001
1344,,1344,,1344,0.0001
1345,,1345,,1345,0.0001
1346,,1346,,1346,0.0001
1347,,1347,,1347,0.0001
1348,,1348,,1348,0.0001
1349,,1349,,1349,0.0001
1350,,1350,,1350,0.0001
1351,,1351,,1351,0.0001
1352,,1352,,1352,0.0001
1353,,1353,,1353,0.0001
1354,,1354,,1354,0.0001
1355,,1355,,1355,0
1356,,1356,,1356,0
1357,,1357,,1357,0
1358,,1358,,1358,0
1359,,1359,,1359,0
1360,,1360,,1360,0
1361,,1361,,1361,0
1362,,1362,,1362,0
1363,,1363,,1363,0
1364,,1364,,1364,0
1365,,1365,,1365,0
1366,,1366,,1366,0
1367,,1367,,1367,0
1368,,1368,,1368,0
1369,,1369,,1369,0
1370,,1370,,1370,0
1371,,1371,,1371,0
1372,,1372,,1372,0.0001
1373,,1373,,1373,0.0001
1374,,1374,,1374,0.0001
1375,,1375,,1375,0.0001
1376,,1376,,1376,0.0001
1377,,1377,,1377,0.0001
1378,,1378,,1378,0.0001
1379,,1379,,1379,0.0001
1380,,1380,,1380,0
1381,,1381,,1381,0
1382,,1382,,1382,0
1383,,1383,,1383,0
1384,,1384,,1384,0.0001
1385,,1385,,1385,0.0002
1386,,1386,,1386,0.0002
1387,,1387,,1387,0.0002
1388,,1388,,1388,0.0002
1389,,1389,,1389,0.0001
1390,,1390,,1390,0
1391,,1391,,1391,0
1392,,1392,,1392,0
1393,,1393,,1393,0
1394,,1394,,1394,0
1395,,1395,,1395,0
1396,,1396,,1396,0
1397,,1397,,1397,0
1398,,1398,,1398,0
1399,,1399,,1399,0
