Wavelength,Excitation,Wavelength,Emission
532,18.26551946,532,0
533,19.19561488,533,0
534,20.15653479,534,0
535,21.15900075,535,0
536,22.20301276,536,0
537,23.26712769,537,0
538,24.32186126,538,0
539,25.39133698,539,0
540,26.46617347,540,0
541,27.53028841,541,0
542,28.54749652,542,0
543,29.53924091,543,0
544,30.46799614,544,0
545,31.277474,545,0
546,32.02262249,546,0
547,32.69674065,547,0
548,33.25694221,548,0
549,33.7822987,549,0
550,34.19373861,550,0
551,34.50466388,551,0
552,34.73785783,552,0
553,34.90672242,553,0
554,35.01125764,554,0
555,35.07960759,555,0
556,35.08898896,556,0
557,35.09568993,557,0
558,35.16135949,558,0
559,35.22568886,559,0
560,35.27527608,560,0
561,35.39991423,561,0
562,35.59424252,562,0
563,35.87836389,563,0
564,36.26434009,564,0
565,36.82856224,565,0
566,37.50268039,566,0
567,38.30277688,567,0
568,39.28513992,568,0
569,40.46183124,569,0
570,41.8221293,570,2.150817354
571,43.39953897,571,2.266626636
572,45.16055538,572,2.542081893
573,47.06765305,573,2.818022297
574,49.15567707,574,3.067692134
575,51.41122547,575,3.305530272
576,53.81017476,576,3.661501295
577,56.36324649,577,4.167486558
578,59.04229656,578,4.817570209
579,61.83660341,579,5.605634814
580,64.72874451,580,6.442872738
581,67.7321218,581,7.396227698
582,70.7877667,582,8.416682267
583,73.87825667,583,9.62049459
584,76.98616919,584,10.9535337
585,80.01769058,585,12.23794377
586,83.03581001,586,13.71666976
587,85.98423931,587,15.4277333
588,88.77050499,588,17.7619084
589,91.27666988,589,20.40797997
590,93.60592902,590,23.26721164
591,95.64168543,591,26.09621226
592,97.37589793,592,28.98937472
593,98.67990779,593,32.17089657
594,99.56443658,594,35.50756099
595,100,595,39.22153219
596,99.96783532,596,42.91408968
597,99.34866517,597,47.15986382
598,98.22826203,598,51.60581194
599,96.58786319,599,56.03202354
600,94.45963332,600,60.45213383
601,91.75109896,601,64.74010778
602,88.59493942,602,69.07780875
603,85.05950466,603,73.4017307
604,81.21046424,604,77.68084298
605,77.05585933,605,81.60634412
606,72.69888496,606,85.13821143
607,68.2534577,607,87.81743837
608,63.74906186,608,90.09762362
609,59.17095529,609,92.18650463
610,54.6518173,610,94.58835319
611,50.24525571,611,96.96392716
612,45.99147636,612,98.53446977
613,41.8489332,613,99.60410169
614,37.90741932,614,99.9795875
615,34.18435724,615,99.95759188
616,30.72263322,616,99.33626635
617,27.47534041,617,98.11837801
618,24.46660234,618,96.54064688
619,21.74198563,619,94.79609737
620,19.25994425,620,93.25075154
621,17.01109682,621,91.25914608
622,14.99410314,622,89.02458626
623,13.18215932,623,86.55997217
624,11.57794575,624,84.32227164
625,10.14393696,625,82.1943342
626,8.877452557,626,79.70960191
627,7.757049426,627,76.64517008
628,6.753243272,628,73.31841021
629,5.903559558,629,70.44758069
630,5.126246381,630,68.08313288
631,4.476251742,631,65.92395243
632,3.918730567,632,63.249495
633,3.404095636,633,60.66652493
634,2.968532218,634,58.31218997
635,2.609359923,635,56.43588714
636,2.289053286,636,54.70366523
637,2.007612308,637,52.41893626
638,1.77039777,638,49.73030873
639,1.559987134,639,46.94297172
640,1.411225474,640,44.55684813
641,1.242360888,641,42.54552362
642,1.094939423,642,40.7800227
643,0.979682642,643,39.05967281
644,0.877827812,644,37.19696085
645,0.778653372,645,35.51235871
646,0.711643615,646,34.0219932
647,0.641953468,647,32.60156159
648,0.600407419,648,31.28731827
649,0.554840785,649,29.83453225
650,0.495872199,650,28.44887137
651,0.461027126,651,27.36583136
652,0.434223223,652,26.4858453
653,0.385976198,653,25.69950223
654,0.360512491,654,24.80714557
655,0.335048783,655,23.84616666
656,0.304224295,656,23.10227607
657,0.296183124,657,22.35532541
658,0.301543905,658,21.78491222
659,0.284121368,659,21.28010824
660,0.268039026,660,20.81687783
661,0.246595904,661,20.35420783
662,0.230513563,662,19.76560897
663,0.207730246,663,19.04580645
664,0.207730246,664,18.47698711
665,0.207730246,665,18.05227961
666,0.20639005,666,17.69060642
667,0.186287123,667,17.30722789
668,0.187627319,668,16.76215931
669,0.211750831,669,16.25755154
670,0.202369465,670,15.75204605
671,0.160823416,671,15.36694599
672,0.191647904,672,14.98496646
673,0.20102927,673,14.65490449
674,0.20102927,674,14.34631268
675,0.184946928,675,14.10142578
676,0.171544977,676,13.86114847
677,0.178245953,677,13.53870642
678,0.170204782,678,13.21575503
679,0.15680283,679,12.88349847
680,0.15680283,680,12.4971553
681,0.15680283,681,11.97272231
682,0.15680283,682,11.36428748
683,0.155462635,683,10.90510893
684,0.155462635,684,10.58715282
685,0.164844001,685,10.34604901
686,0.147421465,686,10.03258421
687,0.136699904,687,9.617395556
688,0.136699904,688,9.244783012
689,0.143400879,689,8.872647553
690,0.162163611,690,8.491608752
691,0.14876166,691,8.125422741
692,0.147421465,692,7.813643197
693,0.139380294,693,7.60234172
694,0.116596977,694,7.351607513
695,0.123297952,695,7.142671301
696,0.134019513,696,6.854926074
697,0.136699904,697,6.516642125
698,0.127318538,698,6.210004345
699,0.119277367,699,5.978099528
700,0.123297952,700,5.910518803
701,0.132679318,701,5.74808558
702,0.112576391,702,5.479423741
703,0.117937172,703,5.080196591
704,0.123297952,704,4.708265405
705,0.119277367,705,4.506486806
706,0.097834245,706,4.410075383
707,0.09649405,707,4.329332497
708,0.111236196,708,4.128802382
709,0.105875415,709,3.861448158
710,0.085772488,710,3.637059777
711,0.080411708,711,3.475203087
712,0.112576391,712,3.373549108
713,0.081751903,713,3.19345972
714,0.076391123,714,3.0200643
715,0.076391123,715,2.867495307
716,0.088452879,716,2.77991331
717,0.095153854,717,2.729875863
718,0.080411708,718,2.682047787
719,0.092473464,719,2.639671916
720,0.080411708,720,2.527973625
721,0.089793074,721,2.349894712
722,0.091133269,722,2.196941363
723,0.100514635,723,2.126937585
724,0.100514635,724,2.109457471
725,0.085772488,725,2.045268751
726,0.10185483,726,1.900092554
727,0.116596977,727,1.723966329
728,0.116596977,728,1.59908303
729,0.109896001,729,1.514667263
730,0.108555806,730,1.538272876
731,0.109896001,731,1.586897884
732,0.117937172,732,1.608345192
733,0.115256781,733,1.58175612
734,0.107215611,734,1.499338734
735,0.109896001,735,1.452002526
736,0.121957757,736,1.42177014
737,0.119277367,737,1.415176964
738,0.15144205,738,1.377608225
739,0.140720489,739,1.299394559
740,0.111236196,740,1.238267245
741,0.128658733,741,1.219807427
742,0.131339123,742,1.223566317
743,0.123297952,743,1.206623763
744,0.108555806,744,1.113593594
745,0.116596977,745,0.996992754
746,0.107215611,746,0.929875674
747,0.125978342,747,0.900715721
748,0.131339123,748,0.911393011
749,0.10185483,749,0.906094011
750,0.097834245,750,0.853843159
751,0.107215611,751,0.821047955
752,0.112576391,752,0.773538384
753,0.121957757,753,0.742804723
754,0.116596977,754,0.73649511
755,0.113916586,755,0.720905864
756,0.109896001,756,0.716800248
757,0.108555806,757,0.715281641
758,0.112576391,758,0.715460379
759,0.108555806,759,0.724262928
760,0.107215611,760,0.687792156
761,0.107215611,761,0.633956845
762,0.107215611,762,0.589214365
763,0.103195025,763,0.600999029
764,0.108555806,764,0.64960791
765,0.116596977,765,0.679286609
766,0.116596977,766,0.695637847
767,0.113916586,767,0.664792642
768,0.117937172,768,0.634204123
769,0.10453522,769,0.567968642
770,0.113916586,770,0.489431096
771,0.112576391,771,0.45509175
772,0.112576391,772,0.481339471
773,0.119277367,773,0.533554038
774,0.132679318,774,0.506127716
775,0.123297952,775,0.445845715
776,0.119277367,776,0.407810642
777,0.127318538,777,0.408010883
778,0.135359708,778,0.421529179
779,0.142060684,779,0.372663612
780,0.134019513,780,0.332075129
781,0.143400879,781,0.349973196
782,0.152782245,782,0.386298827
783,0.123297952,783,0.386818916
784,0.128658733,784,0.336893012
785,0.140720489,785,0.289704634
786,0.143400879,786,0.287692814
787,0.124638147,787,0.269868662
788,0.135359708,788,0.232325457
789,0.155462635,789,0.154043252
790,0.144741074,790,0.110986024
791,0.134019513,791,0.109941813
792,0.142060684,792,0.132368825
793,0.134019513,793,0.17244797
794,0.134019513,794,0.179902586
795,0.129998928,795,0.194301136
796,0.117937172,796,0.175185495
797,0.147421465,797,0.146936706
798,0.168864587,798,0.155952935
799,0.167524392,799,0.29999488
800,0.146081269,800,0.564858856
801,0,801,0
802,0,802,0
803,0,803,0
804,0,804,0
805,0,805,0
806,0,806,0
807,0,807,0
808,0,808,0
809,0,809,0
810,0,810,0
811,0,811,0
812,0,812,0
813,0,813,0
814,0,814,0
815,0,815,0
816,0,816,0
817,0,817,0
818,0,818,0
819,0,819,0
820,0,820,0
821,0,821,0
822,0,822,0
823,0,823,0
824,0,824,0
825,0,825,0
826,0,826,0
827,0,827,0
828,0,828,0
829,0,829,0
830,0,830,0
831,0,831,0
832,0,832,0
833,0,833,0
834,0,834,0
835,0,835,0
836,0,836,0
837,0,837,0
838,0,838,0
839,0,839,0
840,0,840,0
841,0,841,0
842,0,842,0
843,0,843,0
844,0,844,0
845,0,845,0
846,0,846,0
847,0,847,0
848,0,848,0
849,0,849,0
850,0,850,0
851,0,851,0
852,0,852,0
853,0,853,0
854,0,854,0
855,0,855,0
856,0,856,0
857,0,857,0
858,0,858,0
859,0,859,0
860,0,860,0
861,0,861,0
862,0,862,0
863,0,863,0
864,0,864,0
865,0,865,0
866,0,866,0
867,0,867,0
868,0,868,0
869,0,869,0
870,0,870,0
871,0,871,0
872,0,872,0
873,0,873,0
874,0,874,0
875,0,875,0
876,0,876,0
877,0,877,0
878,0,878,0
879,0,879,0
880,0,880,0
881,0,881,0
882,0,882,0
883,0,883,0
884,0,884,0
885,0,885,0
886,0,886,0
887,0,887,0
888,0,888,0
889,0,889,0
890,0,890,0
891,0,891,0
892,0,892,0
893,0,893,0
894,0,894,0
895,0,895,0
896,0,896,0
897,0,897,0
898,0,898,0
899,0,899,0
900,0,900,0
901,0,901,0
902,0,902,0
903,0,903,0
904,0,904,0
905,0,905,0
906,0,906,0
907,0,907,0
908,0,908,0
909,0,909,0
910,0,910,0
911,0,911,0
912,0,912,0
913,0,913,0
914,0,914,0
915,0,915,0
916,0,916,0
917,0,917,0
918,0,918,0
919,0,919,0
920,0,920,0
921,0,921,0
922,0,922,0
923,0,923,0
924,0,924,0
925,0,925,0
926,0,926,0
927,0,927,0
928,0,928,0
929,0,929,0
930,0,930,0
931,0,931,0
932,0,932,0
933,0,933,0
934,0,934,0
935,0,935,0
