Wavelength,Alexa Fluor 488 Ab (EX),Wavelength,Alexa Fluor 488 Ab (EM)
539,0.02066,539,0.60535
540,0.01876,540,0.58378
541,0.01635,541,0.56188
542,0.016,542,0.54147
543,0.01439,543,0.52269
544,0.01336,544,0.50574
545,0.01232,545,0.48987
546,0.01192,546,0.47202
547,0.01066,547,0.45732
548,0.01082,548,0.44164
549,0.00997,549,0.42742
550,0.00974,550,0.41276
551,0.00936,551,0.40045
552,0.00901,552,0.38738
553,0.00854,553,0.37655
554,0.00856,554,0.36461
555,0.00822,555,0.35375
556,0.00812,556,0.34306
557,0.00789,557,0.33239
558,0.00812,558,0.32292
559,0.00793,559,0.31388
560,0.00765,560,0.30296
561,0.00787,561,0.29287
562,0.00763,562,0.28366
563,0.00771,563,0.27506
564,0.00742,564,0.26587
565,0.00781,565,0.25795
566,0.00736,566,0.25075
567,0.00746,567,0.24255
568,0.0072,568,0.23298
569,0.00689,569,0.22491
570,0.00696,570,0.21949
571,0.00696,571,0.21066
572,0.00669,572,0.20306
573,0.00653,573,0.19487
574,0.00606,574,0.18804
575,0.00574,575,0.18159
576,0.00576,576,0.17397
577,0.00608,577,0.16726
578,0.0057,578,0.16136
579,0.00568,579,0.15497
580,0.00506,580,0.14922
581,0.00545,581,0.14268
582,0.00519,582,0.13586
583,0.00541,583,0.12939
584,0.00506,584,0.12523
585,0.005,585,0.11937
586,0.00458,586,0.1156
587,0.00513,587,0.11137
588,0.00446,588,0.10649
589,0.00507,589,0.10293
590,0.00431,590,0.09894
591,0.00466,591,0.09468
592,0.00439,592,0.09109
593,0.00439,593,0.08731
594,0.00417,594,0.08404
595,0.00436,595,0.08075
596,0.00397,596,0.07737
597,0.00413,597,0.07424
598,0.00399,598,0.07204
599,0.00375,599,0.06877
600,0.00393,600,0.06693
601,0.00397,601,0.0642
602,0.00407,602,0.06209
603,0.00362,603,0.06009
604,0.00383,604,0.05748
605,0.00371,605,0.05593
606,0.00391,606,0.0539
607,0.00354,607,0.0511
608,0.00344,608,0.05009
609,0.0033,609,0.04798
610,0.00354,610,0.04645
611,0.0031,611,0.04524
612,0.00332,612,0.04332
613,0.00314,613,0.04204
614,0.00283,614,0.04054
615,0.00283,615,0.03893
616,0.00317,616,0.03782
617,0.00328,617,0.03637
618,0.00279,618,0.03573
619,0.00281,619,0.03408
620,0.00279,620,0.03304
621,0.00291,621,0.03134
