wavelength,Alexa Fluor 555 ex,wavelength,Alexa Fluor 555 em
595,0.0109,595,0.4245
596,0.0106,596,0.4177
597,0.0124,597,0.4147
598,0.0085,598,0.4135
599,0.0108,599,0.4083
600,0.0096,600,0.4054
601,,601,0.4073
602,,602,0.4021
603,,603,0.4073
604,,604,0.4028
605,,605,0.4064
606,,606,0.4084
607,,607,0.4017
608,,608,0.4015
609,,609,0.4036
610,,610,0.3983
611,,611,0.3993
612,,612,0.3932
613,,613,0.3841
614,,614,0.3841
615,,615,0.3767
616,,616,0.3686
617,,617,0.359
618,,618,0.3515
619,,619,0.3418
620,,620,0.3381
621,,621,0.3282
622,,622,0.3144
623,,623,0.306
624,,624,0.2909
625,,625,0.2893
626,,626,0.2734
627,,627,0.2643
628,,628,0.2546
629,,629,0.2428
630,,630,0.2343
631,,631,0.2256
632,,632,0.2165
633,,633,0.2117
634,,634,0.2001
635,,635,0.1945
636,,636,0.1873
637,,637,0.1816
638,,638,0.1728
639,,639,0.1681
640,,640,0.1585
641,,641,0.1528
642,,642,0.1482
643,,643,0.1453
644,,644,0.1391
645,,645,0.1372
646,,646,0.1317
647,,647,0.1275
648,,648,0.1227
649,,649,0.1204
650,,650,0.12
651,,651,0.115
652,,652,0.1121
653,,653,0.1086
654,,654,0.108
655,,655,0.1034
656,,656,0.1038
657,,657,0.0995
658,,658,0.0964
659,,659,0.0954
660,,660,0.0952
661,,661,0.0909
662,,662,0.0884
663,,663,0.0911
664,,664,0.0862
665,,665,0.0845
666,,666,0.0841
667,,667,0.081
668,,668,0.0767
669,,669,0.0778
670,,670,0.0769
671,,671,0.0738
672,,672,0.0715
673,,673,0.0685
674,,674,0.0675
675,,675,0.0673
676,,676,0.0651
677,,677,0.0613
678,,678,0.0619
679,,679,0.0592
680,,680,0.0593
681,,681,0.0556
682,,682,0.0512
683,,683,0.052
684,,684,0.0527
685,,685,0.0493
686,,686,0.0472
687,,687,0.0467
688,,688,0.044
689,,689,0.0432
690,,690,0.0415
691,,691,0.0384
692,,692,0.0393
693,,693,0.0372
694,,694,0.0346
695,,695,0.0354
696,,696,0.031
697,,697,0.0311
698,,698,0.0313
699,,699,0.029
700,,700,0.0285
701,,701,0.0288
702,,702,0.0269
703,,703,0.0254
704,,704,0.0248
705,,705,0.0235
706,,706,0.0217
707,,707,0.0222
708,,708,0.02
709,,709,0.0183
710,,710,0.0211
711,,711,0.0185
712,,712,0.0192
713,,713,0.0181
714,,714,0.0165
715,,715,0.0158
716,,716,0.0156
717,,717,0.0144
718,,718,0.0153
719,,719,0.0125
720,,720,0.0151
721,,721,0.0119
722,,722,0.013
723,,723,0.0129
724,,724,0.0131
