Wavelength,Excitation,Wavelength,Emission
300,13.60913341,300,0
301,13.42682376,301,0
302,13.2597896,302,0
303,13.12031773,303,0
304,12.92173636,304,0
305,12.74009086,305,0
306,12.61224164,306,0
307,12.45782636,307,0
308,12.47177355,308,0
309,12.43956219,309,0
310,12.44952447,310,0
311,12.50531321,311,0
312,12.50863397,312,0
313,12.59829446,313,0
314,12.67533606,314,0
315,12.77628713,315,0
316,12.93435524,316,0
317,13.04958557,317,0
318,13.19038574,318,0
319,13.3836539,319,0
320,13.63603156,320,0
321,13.95017534,321,0
322,14.27428139,322,0
323,14.60502896,323,0
324,15.02742947,324,0
325,15.50960363,325,0
326,16.0083816,326,0
327,16.59947665,327,0
328,17.11087349,328,0
329,17.65979491,329,0
330,18.31962967,330,0
331,18.91769832,331,0
332,19.56856703,332,0
333,20.24633388,333,0
334,21.03933107,334,0
335,21.81173955,335,0
336,22.44633654,336,0
337,23.19118272,337,0
338,24.07616492,338,0
339,24.85853568,339,0
340,25.64123851,340,0
341,26.46677913,341,0
342,27.40290101,342,0
343,28.21416237,343,0
344,29.03007279,344,0
345,29.93331916,345,0
346,30.89135806,346,0
347,31.79194782,347,0
348,32.62379789,348,0
349,33.48121779,349,0
350,34.42962648,350,0
351,35.38434462,351,0
352,36.33607407,352,0
353,37.23533553,353,0
354,38.18241592,354,0
355,39.17764731,355,0
356,40.15195792,356,0
357,41.04358164,357,0
358,41.95546198,358,0
359,42.96298018,359,0
360,43.99473992,360,0
361,44.98266564,361,0
362,45.97623665,362,0
363,46.97976994,363,0
364,47.90925031,364,0
365,48.91477605,365,0
366,49.95516976,366,0
367,50.9689974,367,0
368,51.94297593,368,0
369,53.08099995,369,0
370,54.18913713,370,0
371,55.29661017,371,0
372,56.46252856,372,0
373,57.44248446,373,0
374,58.51010839,374,0
375,59.68565698,375,0
376,60.88644333,376,0
377,61.94377291,377,0
378,63.08046863,378,0
379,64.62196483,379,0
380,65.97783061,380,0
381,66.79739387,381,0
382,68.04234632,382,0
383,69.56956325,383,0
384,70.93041018,384,0
385,72.32313639,385,0
386,73.71885128,386,0
387,75.12718506,387,0
388,76.60459062,388,0
389,78.16335476,389,0
390,79.62747729,390,0
391,81.05507146,391,0
392,82.50757133,392,0
393,83.97036555,393,0
394,85.3982918,394,0
395,86.77541045,395,0
396,88.22957069,396,0
397,89.65517241,397,0
398,91.01336273,398,0
399,92.26362839,399,0
400,93.47603741,400,0
401,94.66686148,401,0
402,95.73714202,402,0
403,96.68953563,403,0
404,97.59942352,404,0
405,98.41566601,405,0
406,98.98584028,406,0
407,99.43580309,407,0
408,99.83429414,408,0
409,100,409,0
410,99.88609798,410,0
411,99.6118033,411,0
412,99.18276128,412,0
413,98.53488125,413,0
414,97.60274428,414,0
415,96.40229,415,0
416,95.0162053,416,0
417,93.36014293,417,0
418,91.38329526,418,0
419,89.19890016,419,0
420,86.89827852,420,0
421,84.4279661,421,0
422,81.50071728,422,0
423,78.51303066,423,0
424,75.31314755,424,0
425,72.04153605,425,12.39139858
426,68.41227884,426,14.91936708
427,64.74848573,427,16.79895803
428,61.05115297,428,20.24768988
429,57.35913341,429,23.95091979
430,53.51070613,430,28.1194386
431,49.78448276,431,32.35520033
432,46.1655199,432,35.9664065
433,42.54257213,433,40.87328248
434,38.96213007,434,46.02386826
435,35.51883534,435,51.69219266
436,32.2601748,436,58.11433496
437,29.1964428,437,62.00686078
438,26.15296743,438,68.34417537
439,23.40902449,439,73.31250151
440,20.92708942,440,78.71494035
441,18.64772063,441,83.97615502
442,16.53206525,442,87.34489318
443,14.61100632,443,91.0653533
444,12.88587216,444,94.5128267
445,11.31316083,445,96.64794776
446,9.864645874,446,98.67035584
447,8.629655704,447,98.8986449
448,7.605865788,448,99.78538063
449,6.612958929,449,100
450,5.724655969,450,99.37611693
451,5.016006057,451,98.42595354
452,4.436533659,452,97.81920916
453,3.827174433,453,95.56887158
454,3.332713458,454,93.12743862
455,2.966433771,455,91.70188724
456,2.614765422,456,90.25777898
457,2.358070772,457,88.15274045
458,2.073481749,458,85.95401195
459,1.816122948,459,83.35715255
460,1.686945433,460,78.7943681
461,1.405013017,461,76.66961412
462,1.265541151,462,75.04457116
463,1.233661867,463,72.31321928
464,1.114114553,464,70.34333908
465,1.039397482,465,68.05576789
466,0.920514319,466,66.0499458
467,0.803291536,467,64.31021903
468,0.85044631,468,61.90388237
469,0.746838638,469,60.36120354
470,0.668136656,470,58.62402687
471,0.629947931,471,57.03021839
472,0.655849849,472,55.44738288
473,0.534642155,473,53.69381331
474,0.550913873,474,52.08062559
475,0.528000638,475,51.16418689
476,0.493464747,476,49.41012457
477,0.460589235,477,47.95847906
478,0.418083524,478,46.27438297
479,0.413102386,479,45.142133
480,0.432694862,480,43.58300797
481,0.351004197,481,42.08045581
482,0.297207906,482,40.8470285
483,0.313479624,483,39.34038478
484,0.329751342,484,38.26610594
485,0.269313533,485,37.1762565
486,0.252709739,486,35.34844607
487,0.275622974,487,34.16444055
488,0.280604112,488,33.09822168
489,0.231456883,489,32.14594092
490,0.207215345,490,30.61683184
491,0.236438021,491,29.47151148
492,0.223487062,492,28.302727
493,0.169690771,493,26.89053565
494,0.143456777,494,25.81064048
495,0.138475639,495,24.83427139
496,0.18264173,496,23.73758047
497,0.145117156,497,22.70568219
498,0.117222783,498,21.72970594
499,0.094641624,499,20.83202386
500,0.105932203,500,19.92829929
501,0.149766219,501,18.87579501
502,0.120543542,502,18.21741491
503,0.13681526,503,17.58750603
504,0.091320865,504,16.75351463
505,0.079698209,505,15.98664796
506,0.095969927,506,15.24668779
507,0.113902024,507,14.68271346
508,0.084679348,508,14.02609117
509,0.063426492,509,13.39259925
510,0.042173636,510,12.94014021
511,0.095969927,511,12.5916775
512,0.047154774,512,11.90099513
513,0.063426492,513,11.54149616
514,0.084679348,514,11.06335327
515,0.099290686,515,10.72774871
516,0.058445354,516,10.23597863
517,0.027562297,517,9.749265581
518,0.019592476,518,9.415159988
519,0.048815153,519,9.059389706
520,0.08932841,520,8.693053416
521,0.035864194,521,8.300159369
522,0.060105733,522,8.137524404
523,0.060105733,523,7.786100378
524,0.019592476,524,7.446335996
525,0.0096302,525,7.132560916
526,0.022913235,526,6.823660603
527,0.038852877,527,6.647103389
528,0.040513256,528,6.255864364
529,0.022581159,529,6.059988712
530,-0.006641517,530,5.889782757
531,0.017932097,531,5.540000435
532,0.003320759,532,5.404285696
533,0.0096302,533,5.140514179
534,0.043834015,534,4.880416421
535,0.050475533,535,4.673908177
536,0.021252856,536,4.497712185
537,0.007969821,537,4.388617624
538,0.007969821,538,4.176309103
539,0.007969821,539,3.989373983
540,-0.004981138,540,3.80837522
541,-0.004981138,541,3.694413391
542,0.022581159,542,3.458529853
543,0.021252856,543,3.342072381
544,0.025901918,544,3.171782366
545,-0.016271718,545,3.116531172
546,0.007969821,546,2.963112438
547,0.016271718,547,2.807820411
548,-0.007969821,548,2.675612762
549,0.034203815,549,2.562810946
550,0.022913235,550,2.45940056
551,-0.004981138,551,2.384232711
552,0.01129058,552,2.200925364
553,-0.004981138,553,2.262822865
554,0.024573615,554,2.079076898
555,0.037524574,555,1.977847962
556,0.01129058,556,1.909205736
557,-0.003320759,557,1.870566563
558,0.063758568,558,1.720614241
559,-0.037524574,559,1.662415364
560,0.052135912,560,1.663317158
561,-0.017932097,561,1.583070321
562,0.055456671,562,1.490153949
563,0.017932097,563,1.412976415
564,0.01129058,564,1.355346101
565,-0.056784974,565,1.375654352
566,0.048815153,566,1.259711552
567,0.022913235,567,1.211751278
568,-0.094309548,568,1.250987416
569,0.012950959,569,1.111447544
570,0.029222677,570,1.003152408
571,0,571,0.958864436
572,-0.088996334,572,0.878114892
573,0.019592476,573,0.91949513
574,0.029222677,574,0.857311268
575,-0.0096302,575,0.815609607
576,-0.05313214,576,0.80660145
577,0.004981138,577,0.773579968
578,0.01129058,578,0.719739622
579,-0.044830243,579,0.680868394
580,-0.075381223,580,0.703273357
581,0.015939642,581,0.643493376
