wavelength,Pacific Blue ex,wavelength,Pacific Blue em
567,,567,0.0251
568,,568,0.0243
569,,569,0.0235
570,,570,0.0228
571,,571,0.0216
572,,572,0.0207
573,,573,0.0196
574,,574,0.0192
575,,575,0.0186
576,,576,0.0174
577,,577,0.0171
578,,578,0.0165
579,,579,0.0158
580,,580,0.0153
581,,581,0.0148
582,,582,0.0145
583,,583,0.014
584,,584,0.0135
585,,585,0.0133
586,,586,0.0127
587,,587,0.0123
588,,588,0.0121
589,,589,0.0117
590,,590,0.011
591,,591,0.0108
592,,592,0.0105
593,,593,0.0103
594,,594,0.0095
595,,595,0.0095
596,,596,0.0092
597,,597,0.0088
598,,598,0.0087
599,,599,0.0085
600,,600,0.0082
601,,601,0.0079
602,,602,0.0075
603,,603,0.0073
604,,604,0.0071
605,,605,0.007
606,,606,0.0066
607,,607,0.0065
608,,608,0.0063
609,,609,0.0064
610,,610,0.0059
611,,611,0.0057
612,,612,0.0056
613,,613,0.0054
614,,614,0.005
615,,615,0.0051
616,,616,0.0051
617,,617,0.0048
618,,618,0.0047
619,,619,0.0045
620,,620,0.0043
621,,621,0.0043
622,,622,0.004
623,,623,0.004
624,,624,0.004
625,,625,0.0039
626,,626,0.0037
627,,627,0.0035
628,,628,0.0035
629,,629,0.0034
630,,630,0.0033
631,,631,0.0031
632,,632,0.0032
633,,633,0.003
634,,634,0.0029
635,,635,0.003
636,,636,0.0029
637,,637,0.0028
638,,638,0.0027
639,,639,0.0027
640,,640,0.0027
641,,641,0.0025
642,,642,0.0026
643,,643,0.0024
644,,644,0.0025
645,,645,0.0022
646,,646,0.0023
647,,647,0.0022
648,,648,0.0022
649,,649,0.0021
650,,650,0.0021
