Exitation wavelength (nm),normalized Exitation,emission wavelength (nm),Normalized emission
548,0.0715,,
549,0.0615,,
550,0.0528,,
551,0.0424,,
552,0.0361,,
553,0.0308,,
554,0.0247,,
555,0.021,,
556,0.0179,,
557,0.0145,,
558,0.0124,,
559,0.0106,,
560,0.0087,,
561,0.0075,,
562,0.0065,,
563,0.0054,,
564,0.0048,,
565,0.0043,,
566,0.0037,,
567,0.0034,,
568,0.003,,
569,0.0026,,
570,0.0024,,
571,0.0022,,
572,0.0019,,
573,0.0017,,
574,0.0015,,
575,0.0013,,
576,0.0012,,
577,0.0011,,
578,0.0009,,
579,0.0008,,
580,0.0007,,
581,0.0007,,
582,0.0006,,
583,0.0006,,
584,0.0006,,
585,0.0006,,
586,0.0006,,
587,0.0007,,
588,0.0007,,
589,0.0007,,
590,0.0006,,
591,0.0006,,
592,0.0004,,
593,0.0004,,
594,0.0003,,
595,0.0003,,
596,0.0003,,
597,0.0003,,
598,0.0002,,
599,0.0001,,
