wavelength,Alexa Fluor 647 ex,wavelength,Alexa Fluor 647 em
500,0.01,500,
501,0.009,501,
502,0.0092,502,
503,0.0096,503,
504,0.0098,504,
505,0.0103,505,
506,0.0108,506,
507,0.0108,507,
508,0.0111,508,
509,0.0118,509,
510,0.0122,510,
511,0.0124,511,
512,0.0133,512,
513,0.0139,513,
514,0.0144,514,
515,0.0145,515,
516,0.0156,516,
517,0.0157,517,
518,0.0162,518,
519,0.0172,519,
520,0.0178,520,
521,0.0181,521,
522,0.0187,522,
523,0.019,523,
524,0.0197,524,
525,0.0205,525,
526,0.021,526,
527,0.0221,527,
528,0.0229,528,
529,0.0232,529,
530,0.0241,530,
531,0.0251,531,
532,0.0269,532,
533,0.0279,533,
534,0.029,534,
535,0.0296,535,
536,0.0303,536,
537,0.0322,537,
538,0.0332,538,
539,0.0348,539,
540,0.0359,540,
541,0.0382,541,
542,0.0401,542,
543,0.0415,543,
544,0.0429,544,
545,0.0463,545,
546,0.0473,546,
547,0.0494,547,
548,0.0513,548,
549,0.0541,549,
550,0.0566,550,
551,0.0583,551,
552,0.0608,552,
553,0.0626,553,
554,0.0648,554,
555,0.0665,555,
556,0.0682,556,
557,0.0706,557,
558,0.0732,558,
559,0.0746,559,
560,0.0768,560,
561,0.08,561,
562,0.0804,562,
563,0.0833,563,
564,0.0865,564,
565,0.0886,565,
566,0.0893,566,
567,0.0922,567,
568,0.0959,568,
569,0.0992,569,
570,0.1024,570,
571,0.1065,571,
572,0.1111,572,
573,0.1159,573,
574,0.1203,574,
575,0.1249,575,
576,0.1297,576,
577,0.1352,577,
578,0.1419,578,
579,0.1492,579,
580,0.1551,580,
581,0.161,581,
582,0.1708,582,
583,0.1776,583,
584,0.1864,584,
585,0.1928,585,
586,0.2036,586,
587,0.2121,587,
588,0.2208,588,
589,0.2299,589,
590,0.24,590,
591,0.2468,591,
592,0.2558,592,
593,0.2626,593,
594,0.2711,594,
595,0.2776,595,
596,0.2848,596,
597,0.2913,597,
598,0.2973,598,
599,0.3023,599,
600,0.3052,600,
601,0.3085,601,
602,0.3132,602,
603,0.3146,603,
604,0.319,604,
605,0.3189,605,
606,0.3189,606,
607,0.3191,607,
608,0.3235,608,
609,0.3238,609,
610,0.3252,610,
611,0.3277,611,
612,0.3247,612,
613,0.3289,613,
614,0.3301,614,
615,0.3334,615,
616,0.3347,616,
617,0.3427,617,
618,0.3475,618,
619,0.3563,619,
620,0.3662,620,
621,0.376,621,
622,0.3851,622,
623,0.3989,623,
624,0.4155,624,
625,0.427,625,
626,0.4442,626,
627,0.4672,627,
628,0.4915,628,
629,0.5123,629,
630,0.5403,630,0.0215
631,0.5666,631,0.0235
632,0.5917,632,0.0272
633,0.6202,633,0.0314
634,0.6501,634,0.0369
635,0.678,635,0.0426
636,0.7052,636,0.0498
637,0.7364,637,0.0581
638,0.7706,638,0.0673
639,0.8041,639,0.0781
640,0.8279,640,0.0894
641,0.8537,641,0.1033
642,0.8796,642,0.1203
643,0.908,643,0.1372
644,0.9325,644,0.1573
645,0.9504,645,0.1786
646,0.9666,646,0.2007
647,0.9826,647,0.2274
648,0.992,648,0.2551
649,0.9977,649,0.2842
650,1,650,0.3165
651,0.9956,651,0.3494
652,0.9905,652,0.39
653,0.9747,653,0.4292
654,0.959,654,0.4642
655,0.9391,655,0.5133
656,0.9142,656,0.5525
657,0.8879,657,0.5979
658,0.854,658,0.6441
659,0.818,659,0.6813
660,0.7813,660,0.7259
661,0.7432,661,0.766
662,0.7017,662,0.8055
663,0.6529,663,0.8477
664,0.6139,664,0.8856
665,0.5728,665,0.9075
666,0.5287,666,0.932
667,0.4819,667,0.9507
668,0.4466,668,0.9738
669,0.4085,669,0.9841
670,0.3714,670,0.9973
671,0.3349,671,1
672,0.3038,672,0.9928
673,0.2754,673,0.9827
674,0.2458,674,0.9688
675,0.2232,675,0.9522
676,0.1986,676,0.939
677,0.1771,677,0.9057
678,0.1547,678,0.8844
679,0.1361,679,0.8615
680,0.1207,680,0.8339
681,0.1084,681,0.8042
682,0.0976,682,0.7709
683,0.083,683,0.7475
684,0.074,684,0.7092
685,0.0654,685,0.683
686,0.0583,686,0.6567
687,0.0524,687,0.6199
688,0.0473,688,0.593
689,0.0428,689,0.5717
690,0.0389,690,0.5372
691,0.0361,691,0.5095
692,0.0321,692,0.4887
693,0.0298,693,0.4652
694,0.0281,694,0.4451
695,0.0252,695,0.4267
696,0.0218,696,0.4064
697,0.02,697,0.3899
698,0.0191,698,0.3731
699,0.0171,699,0.3564
700,0.0164,700,0.3406
701,,701,0.3303
702,,702,0.318
703,,703,0.3064
704,,704,0.2973
705,,705,0.2845
706,,706,0.2749
707,,707,0.2693
708,,708,0.2625
709,,709,0.2528
710,,710,0.2494
711,,711,0.2446
712,,712,0.2418
713,,713,0.2364
714,,714,0.2355
715,,715,0.2327
716,,716,0.2309
717,,717,0.2274
718,,718,0.226
719,,719,0.2223
720,,720,0.2213
721,,721,0.2205
722,,722,0.2176
723,,723,0.2181
724,,724,0.215
725,,725,0.2143
726,,726,0.2097
727,,727,0.2084
728,,728,0.2077
729,,729,0.2036
730,,730,0.2003
731,,731,0.1981
732,,732,0.1973
733,,733,0.1925
734,,734,0.1897
735,,735,0.1861
736,,736,0.1825
737,,737,0.1789
738,,738,0.176
739,,739,0.1726
740,,740,0.1682
741,,741,0.1636
742,,742,0.1591
743,,743,0.1539
744,,744,0.1504
745,,745,0.1471
746,,746,0.143
747,,747,0.1384
748,,748,0.1337
749,,749,0.1299
750,,750,0.1259
751,,751,0.12
752,,752,0.1144
753,,753,0.1105
754,,754,0.1081
755,,755,0.1039
756,,756,0.0987
757,,757,0.0942
758,,758,0.0891
759,,759,0.0864
760,,760,0.0805
761,,761,0.0782
762,,762,0.0752
763,,763,0.0723
764,,764,0.07
765,,765,0.0666
766,,766,0.0648
767,,767,0.0631
768,,768,0.0611
769,,769,0.0592
770,,770,0.0568
771,,771,0.0565
772,,772,0.0553
773,,773,0.0534
774,,774,0.0513
775,,775,0.0499
776,,776,0.0472
777,,777,0.0464
778,,778,0.0443
779,,779,0.0433
780,,780,0.0427
781,,781,0.0417
782,,782,0.0395
783,,783,0.0385
784,,784,0.0371
785,,785,0.0359
786,,786,0.0359
787,,787,0.0345
788,,788,0.0341
789,,789,0.0337
790,,790,0.0332
791,,791,0.0337
792,,792,0.0325
793,,793,0.0311
794,,794,0.0293
795,,795,0.0289
796,,796,0.0282
797,,797,0.028
798,,798,0.0266
799,,799,0.0262
800,,800,0.0257
