wavelength,Cy7 ex,wavelength,Cy7 em
789,0.1936,789,0.8732
790,0.1773,790,0.8527
791,0.1671,791,0.8282
792,0.1589,792,0.7873
793,0.1528,793,0.773
794,0.1283,794,0.7239
795,0.1201,795,0.6994
796,0.1181,796,0.6892
797,0.0997,797,0.679
798,0.0936,798,0.6544
799,0.0855,799,0.6299
800,0.0834,800,0.5829
801,0.0793,801,0.5706
802,0.0691,802,0.5358
803,0.0651,803,0.5154
804,0.063,804,0.4949
805,0.063,805,0.4847
806,0.059,806,0.4745
807,0.0549,807,0.454
808,0.0488,808,0.4152
809,0.0488,809,0.4091
810,0.0447,810,0.4009
811,0.0406,811,0.3702
812,0.0406,812,0.3559
813,0.0386,813,0.3416
814,0.0386,814,0.3354
815,0.0386,815,0.3273
816,0.0345,816,0.3048
817,0.0345,817,0.2966
818,0.0345,818,0.2905
819,0.0304,819,0.2823
820,0.0304,820,0.272
821,0.0284,821,0.2516
822,0.0284,822,0.2475
823,0.0284,823,0.2455
824,0.0284,824,0.2311
825,0.0284,825,0.223
826,0.0244,826,0.2209
827,0.0244,827,0.2168
828,0.0244,828,0.2107
829,0.0244,829,0.2066
830,0.0244,830,0.1964
831,0.0244,831,0.1963
832,0.0244,832,0.1882
833,0.0244,833,0.1861
834,0.0244,834,0.1779
835,0.0244,835,0.1759
836,0.0244,836,0.1759
837,0.0244,837,0.1718
838,0.0203,838,0.1656
839,0.0203,839,0.1616
840,0.0204,840,0.1615
841,0.0204,841,0.1575
842,0.0204,842,0.1534
843,0.0204,843,0.1533
844,0.0204,844,0.1533
845,0.0204,845,0.1513
846,0.0204,846,0.1472
847,0.0204,847,0.1472
848,,848,0.1472
849,,849,0.1472
