wavelength,ATTO 725 ab,wavelength,ATTO 725 em
300,0.114963636,300,
301,0.120124242,301,
302,0.125029437,302,
303,0.129679221,303,
304,0.134073593,304,
305,0.138242424,305,
306,0.142073593,306,
307,0.145701298,307,
308,0.149103898,308,
309,0.152103897,309,
310,0.154701299,310,
311,0.156891776,311,
312,0.159090908,312,
313,0.161138526,313,
314,0.16325108,314,
315,0.165735926,315,
316,0.168554109,316,
317,0.171272723,317,
318,0.17372727,318,
319,0.175536795,319,
320,0.176385277,320,
321,0.1757316,321,
322,0.17365368,322,
323,0.170043287,323,
324,0.164982681,324,
325,0.158688311,325,
326,0.151419915,326,
327,0.143298703,327,
328,0.134584417,328,
329,0.125116887,329,
330,0.115177493,330,
331,0.104450217,331,
332,0.093125541,332,
333,0.081675326,333,
334,0.070147187,334,
335,0.059121212,335,
336,0.049108225,336,
337,0.040359307,337,
338,0.033155844,338,
339,0.027251082,339,
340,0.022627706,340,
341,0.019073593,341,
342,0.016134199,342,
343,0.013865801,343,
344,0.011744589,344,
345,0.010038961,345,
346,0.008662337,346,
347,0.007640693,347,
348,0.007155844,348,
349,0.006787879,349,
350,0.00674026,350,
351,0.006796537,351,
352,0.006606061,352,
353,0.00639394,353,
354,0.006203463,354,
355,0.006077922,355,
356,0.006060606,356,
357,0.005909091,357,
358,0.006,358,
359,0.005909091,359,
360,0.005969697,360,
361,0.006138528,361,
362,0.006281385,362,
363,0.006597403,363,
364,0.007,364,
365,0.007311689,365,
366,0.007597403,366,
367,0.007969697,367,
368,0.008541126,368,
369,0.009090909,369,
370,0.009489177,370,
371,0.009891775,371,
372,0.010121212,372,
373,0.01,373,
374,0.009878788,374,
375,0.009926407,375,
376,0.010450216,376,
377,0.011277056,377,
378,0.012142857,378,
379,0.013116883,379,
380,0.013982684,380,
381,0.0144329,381,
382,0.014688312,382,
383,0.014969697,383,
384,0.015450217,384,
385,0.015969698,385,
386,0.016597403,386,
387,0.017311689,387,
388,0.018,388,
389,0.018597402,389,
390,0.019281385,390,
391,0.020229437,391,
392,0.021,392,
393,0.021861472,393,
394,0.022748918,394,
395,0.023354978,395,
396,0.023748918,396,
397,0.023952381,397,
398,0.024030303,398,
399,0.024090909,399,
400,0.023909091,400,
401,0.023969697,401,
402,0.024138528,402,
403,0.024281385,403,
404,0.024506493,404,
405,0.024878788,405,
406,0.025419914,406,
407,0.026108226,407,
408,0.026969698,408,
409,0.027939394,409,
410,0.028861471,410,
411,0.029718614,411,
412,0.030402597,412,
413,0.031,413,
414,0.031597403,414,
415,0.032281387,415,
416,0.033138529,416,
417,0.034060607,417,
418,0.034939394,418,
419,0.035952381,419,
420,0.036658008,420,
421,0.037324674,421,
422,0.037887445,422,
423,0.038233766,423,
424,0.038627706,424,
425,0.039,425,
426,0.039372295,426,
427,0.039857143,427,
428,0.040233766,428,
429,0.040658009,429,
430,0.040952381,430,
431,0.041030304,431,
432,0.04109091,432,
433,0.041000001,433,
434,0.04109091,434,
435,0.041030304,435,
436,0.040952381,436,
437,0.040658009,437,
438,0.040324676,438,
439,0.039796537,439,
440,0.039203463,440,
441,0.038584415,441,
442,0.038311688,442,
443,0.038095238,443,
444,0.038220779,444,
445,0.038554112,445,
446,0.039251082,446,
447,0.040047619,447,
448,0.040969697,448,
449,0.041909091,449,
450,0.043000001,450,
451,0.04409091,451,
452,0.045121212,452,
453,0.045891775,453,
454,0.046580086,454,
455,0.047121211,455,
456,0.047493505,456,
457,0.047809523,457,
458,0.047982684,458,
459,0.048012987,459,
460,0.047792208,460,
461,0.047103896,461,
462,0.046012987,462,
463,0.044670996,463,
464,0.043121213,464,
465,0.041493507,465,
466,0.039627705,466,
467,0.037831168,467,
468,0.03625974,468,
469,0.034493506,469,
470,0.032489178,470,
471,0.030580087,471,
472,0.028341992,472,
473,0.026060606,473,
474,0.023735931,474,
475,0.021562771,475,
476,0.019735931,476,
477,0.017969697,477,
478,0.016220779,478,
479,0.014688312,479,
480,0.012909091,480,
481,0.011281385,481,
482,0.009735931,482,
483,0.008251082,483,
484,0.00695671,484,
485,0.005939394,485,
486,0.00495671,486,
487,0.004251082,487,
488,0.003735931,488,
489,0.003281385,489,
490,0.002909091,490,
491,0.002688312,491,
492,0.002311688,492,
493,0.002,493,
494,0.001597403,494,
495,0.001190476,495,
496,0.001108225,496,
497,0.001108225,497,
498,0.001281385,498,
499,0.001536797,499,
500,0.001831169,500,
501,0.002168831,501,
502,0.002463204,502,
503,0.002536797,503,
504,0.002831169,504,
505,0.003168831,505,
506,0.003463204,506,
507,0.003627706,507,
508,0.003861472,508,
509,0.003939394,509,
510,0.004060606,510,
511,0.004138528,511,
512,0.004372294,512,
513,0.004536797,513,
514,0.004831169,514,
515,0.005168831,515,
516,0.005463203,516,
517,0.005627706,517,
518,0.005861472,518,
519,0.005939394,519,
520,0.006060606,520,
521,0.006138528,521,
522,0.006281385,522,
523,0.006597403,523,
524,0.007,524,
525,0.007311689,525,
526,0.007688312,526,
527,0.008,527,
528,0.008402598,528,
529,0.008718615,529,
530,0.008770562,530,
531,0.009,531,
532,0.009138528,532,
533,0.009341991,533,
534,0.009675324,534,
535,0.010203463,535,
536,0.010705628,536,
537,0.011294372,537,
538,0.011705628,538,
539,0.012294372,539,
540,0.012705628,540,
541,0.013294372,541,
542,0.013705628,542,
543,0.014203463,543,
544,0.014766234,544,
545,0.015372295,545,
546,0.016000001,546,
547,0.016627706,547,
548,0.017142857,548,
549,0.017766234,549,
550,0.018341991,550,
551,0.019138527,551,
552,0.01990909,552,
553,0.020831169,553,
554,0.021796537,554,
555,0.022606061,555,
556,0.023393939,556,
557,0.024112554,557,
558,0.02495671,558,
559,0.026168831,559,
560,0.027329004,560,
561,0.028969697,561,
562,0.030536797,562,
563,0.032324676,563,
564,0.03391775,564,
565,0.035095239,565,
566,0.036255411,566,
567,0.037463203,567,
568,0.038541125,568,
569,0.039597402,569,
570,0.04074026,570,
571,0.042168832,571,
572,0.043463204,572,
573,0.044536797,573,
574,0.045831169,574,
575,0.047077922,575,
576,0.0484329,576,
577,0.049675324,577,
578,0.051112554,578,
579,0.052675325,579,
580,0.054341991,580,
581,0.056047619,581,
582,0.057878788,582,
583,0.059878788,583,
584,0.062047619,584,
585,0.064251082,585,
586,0.066645022,586,
587,0.069251083,587,
588,0.072138529,588,
589,0.075,589,
590,0.077770563,590,
591,0.080627707,591,
592,0.083463205,592,
593,0.086168831,593,
594,0.088831169,594,
595,0.091536797,595,
596,0.094372295,596,
597,0.097138528,597,
598,0.099878788,598,
599,0.102878788,599,
600,0.10604762,600,
601,0.109341991,601,
602,0.112766234,602,
603,0.116142857,603,
604,0.119627706,604,
605,0.123090908,605,
606,0.126402598,606,
607,0.129718616,607,
608,0.132861474,608,
609,0.136030306,609,
610,0.139090912,610,
611,0.142000001,611,
612,0.144999998,612,
613,0.147999997,613,
614,0.150999999,614,
615,0.154000001,615,
616,0.157,616,
617,0.159999999,617,
618,0.163000001,618,
619,0.16590909,619,
620,0.168969697,620,
621,0.172047622,621,
622,0.175251086,622,
623,0.178554119,623,
624,0.182220782,624,
625,0.186095237,625,
626,0.190220777,626,
627,0.19455411,627,
628,0.199160173,628,
629,0.204017318,629,
630,0.208926409,630,
631,0.21412987,631,
632,0.219783548,632,
633,0.225532466,633,
634,0.231463199,634,
635,0.23772727,635,
636,0.244346317,636,
637,0.251497835,637,
638,0.258896101,638,
639,0.266696965,639,
640,0.274787879,640,
641,0.283017319,641,
642,0.291389613,642,
643,0.300017316,643,
644,0.308787876,644,
645,0.317878784,645,
646,0.327047609,646,
647,0.336341981,647,
648,0.345766231,648,
649,0.355324674,649,
650,0.364688311,650,
651,0.373904764,651,
652,0.382870134,652,
653,0.391567101,653,
654,0.399731599,654,
655,0.407653673,655,
656,0.415225102,656,
657,0.42231601,657,
658,0.428865791,658,
659,0.434835492,659,
660,0.440069263,660,
661,0.444614719,661,
662,0.448298705,662,
663,0.451298706,663,
664,0.453523815,664,
665,0.455038966,665,0.001
666,0.456064937,666,0.001
667,0.4562684,667,0.001
668,0.455805199,668,0.001
669,0.454896109,669,0.001
670,0.453116892,670,0.001
671,0.450774902,671,0.001
672,0.447731614,672,0.000909091
673,0.444445896,673,0.000969697
674,0.440887454,674,0.001138528
675,0.437203469,675,0.001372294
676,0.433675326,676,0.001627706
677,0.43025108,677,0.001861472
678,0.426926402,678,0.001939394
679,0.423896098,679,0.002060606
680,0.421086577,680,0.002138528
681,0.41882251,681,0.002281385
682,0.417073597,682,0.002597403
683,0.416030308,683,0.003
684,0.416060612,684,0.003311688
685,0.417047624,685,0.003597403
686,0.419341993,686,0.003969697
687,0.422766233,687,0.004450217
688,0.427233767,688,0.004969697
689,0.432658012,689,0.005506494
690,0.438952386,690,0.006281385
691,0.445939396,691,0.007138528
692,0.454060609,692,0.007878788
693,0.463047623,693,0.008878788
694,0.473341993,694,0.010047619
695,0.484766229,695,0.011251082
696,0.497233764,696,0.012645022
697,0.510658004,697,0.014160173
698,0.52504329,698,0.015926407
699,0.540151511,699,0.017987013
700,0.556073588,700,0.020207792
701,0.572701288,701,0.022896104
702,0.590103883,702,0.025805195
703,0.608194792,703,0.029177489
704,0.626913415,704,0.032943723
705,0.646086573,705,0.037147185
706,0.665805191,706,0.041761904
707,0.685896104,707,0.047025973
708,0.706389614,708,0.05287013
709,0.727047612,709,0.059445888
710,0.747831164,710,0.066839828
711,0.768748915,711,0.074891776
712,0.789476186,712,0.083861472
713,0.809731583,713,0.093766233
714,0.829744569,714,0.104441558
715,0.849255396,715,0.116541125
716,0.868268388,716,0.13025541
717,0.886614708,717,0.145554114
718,0.904281377,718,0.162761906
719,0.9211212,719,0.181519482
720,0.936701288,720,0.202264068
721,0.951056268,721,0.22494805
722,0.964064933,722,0.249554112
723,0.975341986,723,0.276242425
724,0.984567098,724,0.304774894
725,0.991813849,725,0.334787883
726,0.996779217,726,0.366212123
727,0.999627705,727,0.398225109
728,1.000082256,728,0.430757569
729,0.998129883,729,0.463445877
730,0.993445906,730,0.496051932
731,0.985861489,731,0.528917736
732,0.975121234,732,0.561632025
733,0.961121227,733,0.59426406
734,0.943861482,734,0.626835488
735,0.923536808,735,0.65921644
736,0.900251094,736,0.691502158
737,0.873974032,737,0.723164495
738,0.84493507,738,0.75465367
739,0.813536798,739,0.786064931
740,0.78017749,740,0.817017313
741,0.745121204,741,0.846831169
742,0.708987,742,0.874865804
743,0.672103886,743,0.900878794
744,0.635181808,744,0.924251097
745,0.598047606,745,0.944541136
746,0.561038952,746,0.961718625
747,0.524450211,747,0.975722952
748,0.488354979,748,0.986779225
749,0.453047621,749,0.994354985
750,0.418865807,750,0.998627718
751,0.386194811,751,0.999878803
752,0.355242424,752,0.998116898
753,0.326043289,753,0.993883125
754,0.298748916,754,0.987030307
755,0.273445885,755,0.978251076
756,0.249870129,756,0.967662318
757,0.228025973,757,0.95551946
758,0.207761907,758,0.941809511
759,0.189147189,759,0.926692629
760,0.171943725,760,0.910735929
761,0.15617749,761,0.894112558
762,0.141896103,762,0.876238104
763,0.129017314,763,0.857813864
764,0.117372291,764,0.838653688
765,0.106748917,765,0.819060619
766,0.096844157,766,0.798696982
767,0.087731605,767,0.778064941
768,0.079103899,768,0.757523819
769,0.071255413,769,0.737190485
770,0.063991344,770,0.717082263
771,0.057199136,771,0.697658026
772,0.050987014,772,0.678731616
773,0.045489178,773,0.660835512
774,0.040532467,774,0.643376633
775,0.036298701,775,0.626251083
776,0.032372294,776,0.60922511
777,0.028930735,777,0.592173167
778,0.025554112,778,0.574939402
779,0.022359308,779,0.557385296
780,0.01934632,780,0.540056292
781,0.016865801,781,0.523562786
782,0.014805195,782,0.507675339
783,0.013298701,783,0.492701303
784,0.011926407,784,0.478593077
785,0.010848485,785,0.464995671
786,0.00995671,786,0.452004324
787,0.009341991,787,0.439316017
788,0.008766234,788,0.427086584
789,0.008142857,789,0.415402602
790,0.007536797,790,0.404177494
791,0.006969697,791,0.393437234
792,0.006510823,792,0.382805199
793,0.006138528,793,0.372545453
794,0.00574026,794,0.362852812
795,0.005627706,795,0.353658008
796,0.005402597,796,0.344961044
797,0.004909091,797,0.33702598
798,0.004658009,798,0.329761911
799,0.004450216,799,0.323147191
800,0.004372294,800,0.316852815
801,0.004316017,801,0.311147181
802,0.004082251,802,0.305943717
803,0.004090909,803,0.301268393
804,0.003857143,804,0.296835494
805,0.003515152,805,0.292757576
806,0.003393939,806,0.288835501
807,0.003294372,807,0.285268403
808,0.003108225,808,0.282034641
809,0.002922078,809,0.279177496
810,0.002536797,810,0.276896113
811,0.002372294,811,0.274926417
812,0.002138528,812,0.273160179
813,0.001969697,813,0.271645028
814,0.001909091,814,0.270251086
815,0.002,815,0.269047621
816,0.002,816,0.267878788
817,0.002,817,0.266878783
818,0.002,818,0.266047613
819,0.002,819,0.265341985
820,,820,0.264766229
821,,821,0.264142856
822,,822,0.263536795
823,,823,0.263151514
824,,824,0.262571425
825,,825,0.261952375
826,,826,0.261207782
827,,827,0.260294363
828,,828,0.259030299
829,,829,0.257658006
830,,830,0.256510824
831,,831,0.25554113
832,,832,0.254458877
833,,833,0.25348918
834,,834,0.252523808
835,,835,0.251121212
836,,836,0.249640693
837,,837,0.248060607
838,,838,0.246354979
839,,839,0.244437232
840,,840,0.24235498
841,,841,0.240060606
842,,842,0.23764069
843,,843,0.2350303
844,,844,0.232402597
845,,845,0.229688313
846,,846,0.226999999
847,,847,0.2244026
848,,848,0.221809528
849,,849,0.21889178
850,,850,0.215982688
851,,851,0.212748922
852,,852,0.209415589
853,,853,0.205917755
854,,854,0.202095242
855,,855,0.198346326
856,,856,0.194402602
857,,857,0.1903723
858,,858,0.18645455
859,,859,0.182424248
860,,860,0.178766237
861,,861,0.1749697
862,,862,0.171281385
863,,863,0.167766235
864,,864,0.164112556
865,,865,0.160675326
866,,866,0.157432902
867,,867,0.154077921
868,,868,0.150740257
869,,869,0.147506489
870,,870,0.144510818
871,,871,0.141510821
872,,872,0.138506494
873,,873,0.135740262
874,,874,0.133168836
875,,875,0.130463207
876,,876,0.127627709
877,,877,0.124770564
878,,878,0.122000002
879,,879,0.119138529
880,,880,0.11634199
881,,881,0.113675325
882,,882,0.111112554
883,,883,0.108766234
884,,884,0.106372294
885,,885,0.103909091
886,,886,0.101597403
887,,887,0.099281386
888,,888,0.097138528
889,,889,0.094969698
890,,890,0.092818182
891,,891,0.090969697
892,,892,0.089138528
893,,893,0.087372295
894,,894,0.085536796
895,,895,0.08374026
896,,896,0.082138529
897,,897,0.080510824
898,,898,0.078878789
899,,899,0.077506495
900,,900,0.076372295
901,,901,0.075168832
902,,902,0.073831169
903,,903,0.072536797
904,,904,0.071463204
905,,905,0.070168832
906,,906,0.068922078
907,,907,0.0675671
908,,908,0.066233766
909,,909,0.064766234
910,,910,0.063341991
911,,911,0.062047619
912,,912,0.060969697
913,,913,0.05990909
914,,914,0.058999999
915,,915,0.057909091
916,,916,0.056969697
917,,917,0.056138529
918,,918,0.055372295
919,,919,0.054627706
920,,920,0.053861472
921,,921,0.053030303
922,,922,0.052
923,,923,0.050969697
924,,924,0.050138528
925,,925,0.049281385
926,,926,0.048597402
927,,927,0.047999999
928,,928,0.047402596
929,,929,0.046627705
930,,930,0.045831168
931,,931,0.045168831
932,,932,0.044463204
933,,933,0.043627706
934,,934,0.042770563
935,,935,0.042
936,,936,0.041229437
937,,937,0.040281385
938,,938,0.039597402
939,,939,0.038909091
940,,940,0.038372294
941,,941,0.037766234
942,,942,0.037203462
943,,943,0.036796535
944,,944,0.036233765
945,,945,0.035627705
946,,946,0.035090909
947,,947,0.034311689
948,,948,0.033688313
949,,949,0.033000002
950,,950,0.03231169
951,,951,0.031688312
952,,952,0.031
953,,953,0.030311688
954,,954,0.029688311
955,,955,0.02890909
956,,956,0.028372295
957,,957,0.027766234
958,,958,0.027112555
959,,959,0.026766235
960,,960,0.026372295
961,,961,0.026000001
962,,962,0.025627706
963,,963,0.025233767
964,,964,0.024796537
965,,965,0.024203463
966,,966,0.023766234
967,,967,0.023372294
968,,968,0.022909091
969,,969,0.022597403
970,,970,0.022281385
971,,971,0.022138528
972,,972,0.022060606
973,,973,0.021939394
974,,974,0.021861472
975,,975,0.021627706
976,,976,0.021463203
977,,977,0.021168831
978,,978,0.020831169
979,,979,0.020536797
980,,980,0.020372294
981,,981,0.020229437
982,,982,0.02
983,,983,0.019770563
984,,984,0.019627705
985,,985,0.019372294
986,,986,0.019138527
987,,987,0.018878787
988,,988,0.018878787
989,,989,0.019138527
990,,990,0.019372294
991,,991,0.019627705
992,,992,0.019952381
993,,993,0.020060606
994,,994,0.019952381
995,,995,0.019627705
996,,996,0.019450216
997,,997,0.019251082
998,,998,0.019030302
999,,999,0.018787878
