Wavelength,Excitation,Wavelength,Emission
300,30.58558,300,0
301,27.61688,301,0
302,25.19415,302,0
303,23.08136,303,0
304,20.97427,304,0
305,19.4612,305,0
306,17.82927,306,0
307,16.30482,307,0
308,15.69629,308,0
309,14.69251,309,0
310,13.77403,310,0
311,13.39896,311,0
312,13.28806,312,0
313,12.85584,313,0
314,12.7165,314,0
315,12.56266,315,0
316,12.4293,316,0
317,12.26409,317,0
318,12.01983,318,0
319,11.93708,319,0
320,11.79205,320,0
321,11.56741,321,0
322,11.34846,322,0
323,11.77812,323,0
324,11.60466,324,0
325,11.60722,325,0
326,11.82931,326,0
327,11.90608,327,0
328,11.8148,328,0
329,11.42836,329,0
330,11.40277,330,0
331,11.35699,331,0
332,11.42552,332,0
333,11.32315,333,0
334,11.47073,334,0
335,11.42552,335,0
336,11.33168,336,0
337,11.22647,337,0
338,11.10704,338,0
339,10.88808,339,0
340,10.82552,340,0
341,10.82808,341,0
342,10.70609,342,0
343,10.35349,343,0
344,10.3077,344,0
345,9.932351,345,0
346,9.557282,346,0
347,9.284299,347,0
348,8.937098,348,0
349,8.558901,349,0
350,8.297291,350,0
351,7.947814,351,0
352,7.805635,352,0
353,7.521277,353,0
354,7.344975,354,0
355,7.160142,355,0
356,7.233791,356,0
357,7.054645,357,0
358,7.063176,358,0
359,7.199668,359,0
360,7.296634,360,0
361,7.373411,361,0
362,7.558244,362,0
363,7.651797,363,0
364,7.802792,364,0
365,7.73739,365,0
366,7.614831,366,0
367,7.503931,367,0
368,7.347534,368,0
369,7.137393,369,0
370,6.972466,370,0
371,6.690951,371,0
372,6.457493,372,0
373,6.144699,373,0
374,6.093799,374,0
375,5.766502,375,0
376,5.601859,376,0
377,5.331718,377,0
378,5.112762,378,0
379,4.973142,379,0
380,4.816745,380,0
381,4.67485,381,0
382,4.651817,382,0
383,4.572197,383,0
384,4.322246,384,0
385,4.430303,385,0
386,4.327933,386,0
387,4.353241,387,0
388,4.339023,388,0
389,4.310587,389,0
390,4.316559,390,0
391,4.296654,391,0
392,4.216749,392,0
393,4.270777,393,0
394,4.279308,394,0
395,4.254,395,0
396,4.182626,396,0
397,4.270777,397,0
398,4.182626,398,0
399,4.216749,399,0
400,4.100163,400,0
401,4.131726,401,0
402,4.01514,402,0
403,4.026229,403,0
404,3.892865,404,0
405,3.875519,405,0
406,3.818932,406,0
407,3.764904,407,0
408,3.725094,408,0
409,3.759217,409,0
410,3.721966,410,0
411,3.69353,411,0
412,3.645189,412,0
413,3.585474,413,0
414,3.480546,414,0
415,3.540261,415,0
416,3.497323,416,0
417,3.474574,417,0
418,3.366518,418,0
419,3.358272,419,0
420,3.304244,420,0
421,3.207562,421,0
422,3.235997,422,0
423,3.26159,423,0
424,3.130501,424,0
425,3.136188,425,0
426,3.036947,426,0
427,2.925763,427,0
428,3.062255,428,0
429,2.939981,429,0
430,2.837612,430,0
431,2.903014,431,0
432,2.951355,432,0
433,2.871735,433,0
434,2.900455,434,0
435,2.965573,435,0
436,2.937137,436,0
437,2.778181,437,0
438,2.744058,438,0
439,2.692589,439,0
440,2.692589,440,0
441,2.652778,441,0
442,2.672683,442,0
443,2.721025,443,0
444,2.763963,444,0
445,2.666997,445,0
446,2.846427,446,0
447,2.820834,447,0
448,2.78074,448,0
449,2.809175,449,0
450,2.900455,450,0
451,2.905858,451,0
452,2.959886,452,0
453,2.934578,453,0
454,2.97126,454,0
455,2.982919,455,0
456,3.045477,456,0
457,3.073629,457,0
458,3.184529,458,0
459,3.090975,459,0
460,3.187657,460,0
461,3.281495,461,0
462,3.400641,462,0
463,3.378177,463,0
464,3.562725,464,0
465,3.596848,465,0
466,3.690971,466,0
467,3.759217,467,0
468,3.807273,468,0
469,3.912486,469,0
470,4.000637,470,0
471,4.126039,471,0
472,4.299213,472,0
473,4.466984,473,0
474,4.691628,474,0
475,4.805371,475,0
476,5.109634,476,0
477,5.203757,477,0
478,5.499206,478,0
479,5.63001,479,0
480,5.917497,480,0
481,6.079296,481,0
482,6.372185,482,0
483,6.534554,483,0
484,6.790192,484,0
485,7.06602,485,0
486,7.24545,486,0
487,7.418623,487,0
488,7.734546,488,0
489,7.8281,489,0
490,8.087151,490,0
491,8.285917,491,0
492,8.578806,492,0
493,8.763923,493,0
494,9.068187,494,0
495,9.309891,495,0
496,9.721927,496,0
497,9.95254,497,0
498,10.40439,498,0
499,10.85083,499,0
500,11.30296,500,0
501,11.76959,501,0
502,12.45489,502,0
503,13.10892,503,0
504,13.83972,504,0
505,14.63848,505,0
506,15.51146,506,0
507,16.4271,507,0
508,17.39989,508,0
509,18.4631,509,0
510,19.54366,510,0
511,20.69816,511,0
512,21.90412,512,0
513,23.00714,513,0
514,24.29557,514,0
515,25.46997,515,0
516,26.66115,516,0
517,27.67944,517,0
518,28.82512,518,0
519,29.66113,519,0
520,30.52018,520,0
521,31.25951,521,0
522,31.90216,522,0
523,32.29429,523,0
524,32.61277,524,0
525,32.79789,525,0
526,32.84338,526,0
527,32.76064,527,0
528,32.70121,528,0
529,32.5704,529,0
530,32.4595,530,2.700963
531,32.30566,531,1.892963
532,32.37391,532,1.048159
533,32.4794,533,0.8102422
534,32.70661,534,0.8464856
535,33.07627,535,0.9473689
536,33.6794,536,1.164081
537,34.40167,537,1.362765
538,35.47654,538,1.531091
539,36.63928,539,1.85289
540,38.12363,540,2.180574
541,39.69926,541,2.597184
542,41.73783,542,3.135042
543,43.89326,543,3.692608
544,46.43856,544,4.331162
545,49.0629,545,5.1443
546,52.0916,546,6.315107
547,55.19082,547,7.526734
548,58.77942,548,9.300037
549,62.36262,549,11.07521
550,66.34079,550,13.36022
551,70.31896,551,15.77002
552,74.44216,552,18.62735
553,78.43996,553,21.82516
554,82.4949,554,25.45743
555,86.30559,555,29.35339
556,89.88822,556,33.79076
557,93.03066,557,38.48557
558,95.63539,558,42.92388
