wavelength,EGFP ex,wavelength,EGFP em,wavelength,EGFP 2p
526,0.0157,526,0.547,526,
527,0.0138,527,0.5275,527,
528,0.0122,528,0.5084,528,
529,0.0109,529,0.49,529,
530,0.0093,530,0.4733,530,
531,0.0083,531,0.4636,531,
532,0.0073,532,0.4504,532,
533,0.0064,533,0.4393,533,
534,0.0059,534,0.4296,534,
535,0.0051,535,0.4221,535,
536,0.0054,536,0.4105,536,
537,0.0052,537,0.4014,537,
538,0.0048,538,0.3942,538,
539,0.0047,539,0.3867,539,
540,0.0044,540,0.381,540,
541,0.005,541,0.3693,541,
542,0.0056,542,0.3621,542,
543,0.0053,543,0.3583,543,
544,0.0054,544,0.3476,544,
545,0.0053,545,0.3393,545,
546,0.0046,546,0.3295,546,
547,0.0058,547,0.3223,547,
548,0.0057,548,0.312,548,
549,0.0061,549,0.3015,549,
550,0.0059,550,0.2908,550,
551,0.005,551,0.2796,551,
552,0.0049,552,0.2674,552,
553,0.0043,553,0.2564,553,
554,0.0044,554,0.2451,554,
555,0.0042,555,0.2344,555,
556,0.0044,556,0.2243,556,
557,0.004,557,0.2156,557,
558,0.0046,558,0.2068,558,
559,0.0036,559,0.1957,559,
560,0.0054,560,0.1865,560,
561,0.0043,561,0.1806,561,
562,0.0036,562,0.1706,562,
563,0.0038,563,0.1617,563,
564,0.0036,564,0.1548,564,
565,0.0044,565,0.1485,565,
566,0.005,566,0.1406,566,
567,0.0041,567,0.1347,567,
568,0.0037,568,0.1283,568,
569,0.0034,569,0.1224,569,
570,0.0042,570,0.1173,570,
571,0.0041,571,0.1143,571,
572,0.0047,572,0.108,572,
573,0.004,573,0.1041,573,
574,0.0041,574,0.0969,574,
575,0.0045,575,0.0959,575,
576,0.0047,576,0.092,576,
577,0.0053,577,0.0883,577,
578,0.0043,578,0.0843,578,
579,0.0046,579,0.0813,579,
580,0.0038,580,0.0787,580,
581,0.0042,581,0.0759,581,
582,0.0041,582,0.0737,582,
583,0.0038,583,0.0712,583,
584,0.0045,584,0.0687,584,
585,0.0044,585,0.0653,585,
586,0.0041,586,0.0645,586,
587,0.0041,587,0.0633,587,
588,0.0048,588,0.0594,588,
589,0.0042,589,0.0591,589,
590,0.0043,590,0.0558,590,
591,0.0042,591,0.0544,591,
592,0.0038,592,0.053,592,
593,0.004,593,0.0501,593,
594,0.0047,594,0.0492,594,
595,0.0044,595,0.0472,595,
596,0.0032,596,0.0461,596,
597,0.0034,597,0.0441,597,
598,0.0034,598,0.0417,598,
