Wavelength,Alexa Fluor 700 (AB),Wavelength,Alexa Fluor 700 (EM),Wavelength,Alexa Fluor 700 (2P)
641,0.48582,641,0.00644,641,
642,0.49053,642,0.00684,642,
643,0.49486,643,0.00538,643,
644,0.4987,644,0.00705,644,
645,0.50214,645,0.00735,645,
646,0.50516,646,0.00735,646,
647,0.50791,647,0.0085,647,
648,0.51023,648,0.00936,648,
649,0.51228,649,0.00835,649,
650,0.51443,650,0.00956,650,
651,0.51625,651,0.00976,651,
652,0.51801,652,0.01112,652,
653,0.51997,653,0.01137,653,
654,0.52197,654,0.01047,654,
655,0.5243,655,0.01152,655,
656,0.52681,656,0.01183,656,
657,0.52989,657,0.01374,657,
658,0.53321,658,0.01293,658,
659,0.53721,659,0.0153,659,
660,0.5417,660,0.0159,660,
661,0.5471,661,0.01394,661,
662,0.55291,662,0.01993,662,
663,0.55981,663,0.01781,663,
664,0.56751,664,0.0239,664,
665,0.57611,665,0.02315,665,
666,0.58568,666,0.02556,666,
667,0.59611,667,0.02773,667,
668,0.60745,668,0.0319,668,
669,0.61975,669,0.03286,669,
670,0.63281,670,0.03668,670,
671,0.64673,671,0.04142,671,
672,0.66148,672,0.04589,672,
673,0.67712,673,0.04846,673,
674,0.6933,674,0.0542,674,
675,0.7106,675,0.05671,675,
676,0.72794,676,0.06743,676,
677,0.74614,677,0.07272,677,
678,0.76404,678,0.07885,678,
679,0.7833,679,0.08998,679,
680,0.80139,680,0.09591,680,
681,0.82043,681,0.10719,681,
682,0.83941,682,0.11886,682,
683,0.85786,683,0.1333,683,
684,0.87693,684,0.14135,684,
685,0.89252,685,0.1637,685,
686,0.90894,686,0.1717,686,
687,0.92502,687,0.19168,687,
688,0.9399,688,0.20667,688,
689,0.95313,689,0.22237,689,
690,0.96539,690,0.25065,690,
691,0.97595,691,0.27073,691,
692,0.98485,692,0.2964,692,
693,0.99173,693,0.31255,693,
694,0.99666,694,0.34053,694,
695,0.99952,695,0.36579,695,
696,1,696,0.39704,696,
697,0.99819,697,0.42492,697,
698,0.99375,698,0.45592,698,
699,0.98681,699,0.48797,699,
700,0.9774,700,0.51882,700,
701,0.96536,701,0.54876,701,
702,0.95121,702,0.59018,702,
703,0.93403,703,0.62475,703,
704,0.91532,704,0.66581,704,
705,0.89364,705,0.68247,705,
706,0.8704,706,0.73324,706,
707,0.84535,707,0.74648,707,
708,0.81882,708,0.79484,708,
709,0.79096,709,0.8274,709,
710,0.76134,710,0.85734,710,
711,0.7317,711,0.88149,711,
712,0.70033,712,0.90746,712,
713,0.66912,713,0.92552,713,
714,0.6366,714,0.94756,714,
715,0.60492,715,0.96211,715,
716,0.57282,716,0.97831,716,
717,0.54127,717,0.98178,717,
718,0.51015,718,0.99225,718,
719,0.48014,719,1,719,
720,0.45041,720,0.99874,720,
721,0.42155,721,0.99532,721,
722,0.39479,722,0.98772,722,
723,0.36805,723,0.96085,723,
724,0.34249,724,0.96397,724,
725,0.31745,725,0.94002,725,
726,0.29477,726,0.92593,726,
727,0.2728,727,0.89146,727,
728,0.25269,728,0.87304,728,
729,0.23308,729,0.85336,729,
730,0.21554,730,0.82347,730,
731,0.19873,731,0.79277,731,
732,0.18338,732,0.76223,732,
733,0.16911,733,0.7346,733,
734,0.15601,734,0.70854,734,
735,0.1438,735,0.66687,735,
736,0.13265,736,0.65373,736,
737,0.12245,737,0.61177,737,
738,0.11307,738,0.57724,738,
739,0.1046,739,0.55923,739,
740,0.09657,740,0.52883,740,
741,0.0893,741,0.51067,741,
742,0.08254,742,0.48405,742,
743,0.07635,743,0.45345,743,
744,0.07074,744,0.42472,744,
745,0.06533,745,0.40711,745,
746,0.06083,746,0.37933,746,
747,0.05613,747,0.36458,747,
748,0.05221,748,0.35714,748,
749,0.0485,749,0.33112,749,
750,0.04511,750,0.32045,750,
751,0.04183,751,0.30259,751,
752,0.03892,752,0.29157,752,
753,0.03636,753,0.27929,753,
754,0.03376,754,0.26761,754,
755,0.03139,755,0.25257,755,
756,0.02921,756,0.23344,756,
757,0.02722,757,0.23007,757,
758,0.02531,758,0.21342,758,
759,0.02366,759,0.20994,759,
760,0.02214,760,0.20265,760,
761,0.02053,761,0.19681,761,
762,0.01925,762,0.18649,762,
763,0.01796,763,0.18096,763,
764,0.01672,764,0.17537,764,
765,0.01587,765,0.17266,765,
766,0.01474,766,0.1639,766,
767,0.01387,767,0.15595,767,
768,0.01299,768,0.15258,768,
769,0.01241,769,0.149,769,
770,0.01158,770,0.14508,770,
771,0.0108,771,0.13768,771,
772,0.01026,772,0.13788,772,
773,0.00973,773,0.1334,773,
774,0.00902,774,0.12958,774,
775,0.00853,775,0.125,775,
776,0.00812,776,0.12359,776,
777,0.00778,777,0.12233,777,
778,0.00723,778,0.12012,778,
779,0.00707,779,0.11856,779,
780,0.00662,780,0.11343,780,
781,0.00648,781,0.11151,781,
782,0.00623,782,0.10759,782,
783,0.00594,783,0.10744,783,
784,0.00558,784,0.10185,784,
785,0.00556,785,0.09984,785,
786,0.00535,786,0.09868,786,
787,0.00511,787,0.09606,787,
788,0.00491,788,0.09375,788,
789,0.00481,789,0.09662,789,
790,0.0046,790,0.09307,790,
791,,791,0.09122,791,
792,,792,0.08938,792,
793,,793,0.08753,793,
794,,794,0.08568,794,
795,,795,0.08383,795,
796,,796,0.08198,796,
797,,797,0.08014,797,
798,,798,0.07829,798,
799,,799,0.07644,799,
800,,800,0.07459,800,
801,,801,0.07274,801,
802,,802,0.0709,802,
803,,803,0.06905,803,
804,,804,0.0672,804,
805,,805,0.06535,805,
806,,806,0.0635,806,
807,,807,0.06166,807,
808,,808,0.05981,808,
809,,809,0.05796,809,
810,,810,0.05611,810,
811,,811,0.05426,811,
812,,812,0.05242,812,
813,,813,0.05057,813,
814,,814,0.04872,814,
815,,815,0.04687,815,
816,,816,0.04503,816,
817,,817,0.04318,817,
818,,818,0.04133,818,
819,,819,0.03948,819,
820,,820,0.03763,820,
821,,821,0.03579,821,
822,,822,0.03394,822,
823,,823,0.03341,823,
824,,824,0.03241,824,
825,,825,0.02909,825,
826,,826,0.02979,826,
827,,827,0.02672,827,
828,,828,0.02496,828,
829,,829,0.02592,829,
830,,830,0.02199,830,
831,,831,0.02129,831,
832,,832,0.02184,832,
833,,833,0.02078,833,
834,,834,0.01912,834,
835,,835,0.01837,835,
836,,836,0.01721,836,
837,,837,0.0151,837,
838,,838,0.0152,838,
839,,839,0.015,839,
840,,840,0.01429,840,
841,,841,0.01434,841,
842,,842,0.01414,842,
843,,843,0.01213,843,
844,,844,0.01062,844,
845,,845,0.01117,845,
846,,846,0.01117,846,
847,,847,0.00805,847,
848,,848,0.01017,848,
849,,849,0.00891,849,
850,,850,0.00921,850,
1220,,1220,,1220,18.6
1240,,1240,,1240,30.1
1260,,1260,,1260,34.7
1280,,1280,,1280,48.1
1300,,1300,,1300,52.7
1320,,1320,,1320,52.7
