wavelength,Alexa Fluor 405 ex,wavelength,Alexa Fluor 405 em
300,0.336,300,
301,0.2821,301,
302,0.2396,302,
303,0.2021,303,
304,0.1733,304,
305,0.1519,305,
306,0.1354,306,
307,0.1212,307,
308,0.1108,308,
309,0.1032,309,
310,0.0961,310,
311,0.091,311,
312,0.0862,312,
313,0.0837,313,
314,0.0808,314,
315,0.0764,315,
316,0.0761,316,
317,0.0753,317,
318,0.0736,318,
319,0.0735,319,
320,0.0761,320,
321,0.0758,321,
322,0.078,322,
323,0.0799,323,
324,0.0829,324,
325,0.0893,325,
326,0.0921,326,
327,0.0973,327,
328,0.1044,328,
329,0.1106,329,
330,0.1185,330,
331,0.1265,331,
332,0.1349,332,
333,0.1422,333,
334,0.1521,334,
335,0.1581,335,
336,0.1672,336,
337,0.1766,337,
338,0.1863,338,
339,0.1968,339,
340,0.2094,340,
341,0.2244,341,
342,0.2407,342,
343,0.2604,343,
344,0.2807,344,
345,0.3019,345,
346,0.3242,346,
347,0.3433,347,
348,0.3604,348,
349,0.3765,349,
350,0.3904,350,
351,0.403,351,
352,0.4166,352,
353,0.4274,353,
354,0.4393,354,
355,0.4512,355,
356,0.4631,356,
357,0.4776,357,
358,0.4939,358,
359,0.5154,359,
360,0.5411,360,
361,0.5715,361,
362,0.603,362,
363,0.6333,363,
364,0.6601,364,
365,0.6793,365,
366,0.6927,366,
367,0.7036,367,
368,0.7116,368,
369,0.7194,369,
370,0.7254,370,
371,0.7317,371,
372,0.736,372,
373,0.7404,373,
374,0.7433,374,
375,0.7473,375,
376,0.7495,376,
377,0.7539,377,
378,0.7548,378,
379,0.7549,379,
380,0.7493,380,
381,0.7346,381,
382,0.7156,382,
383,0.6912,383,
384,0.6585,384,
385,0.6268,385,
386,0.5976,386,
387,0.5724,387,
388,0.5551,388,
389,0.5455,389,
390,0.547,390,
391,0.5596,391,0.0001
392,0.5845,392,0.0016
393,0.6204,393,0.004
394,0.6671,394,0.0082
395,0.7222,395,0.0132
396,0.7831,396,0.0209
397,0.8447,397,0.0301
398,0.9029,398,0.0447
399,0.9518,399,0.0621
400,0.986,400,0.0857
401,1,401,0.115
402,0.9946,402,0.1489
403,0.9675,403,0.1915
404,0.9214,404,0.2405
405,0.8606,405,0.2893
406,0.7889,406,0.3509
407,0.7103,407,0.4106
408,0.6289,408,0.4753
409,0.5485,409,0.5427
410,0.4717,410,0.6037
411,0.3983,411,0.6709
412,0.3344,412,0.7315
413,0.2765,413,0.7839
414,0.2269,414,0.8338
415,0.184,415,0.8741
416,0.1494,416,0.9141
417,0.1189,417,0.9399
418,0.0954,418,0.963
419,0.0748,419,0.9804
420,0.0594,420,0.993
421,0.0466,421,0.9971
422,0.0363,422,1
423,0.0292,423,0.9933
424,0.0219,424,0.9888
425,0.0173,425,0.985
426,0.0138,426,0.9777
427,0.0106,427,0.9683
428,0.0084,428,0.9633
429,0.0068,429,0.9541
430,0.0056,430,0.9467
431,0.0044,431,0.9382
432,0.0029,432,0.9371
433,0.0027,433,0.9321
434,0.0023,434,0.9241
435,0.0018,435,0.918
436,0.0012,436,0.9092
437,0.0013,437,0.9006
438,0.0006,438,0.8918
439,0.0007,439,0.8826
440,0.0007,440,0.8699
441,0.0014,441,0.8563
442,0.0007,442,0.8477
443,0.0002,443,0.827
444,0.0003,444,0.8125
445,0.0005,445,0.7944
446,0.0006,446,0.7746
447,0.0006,447,0.7556
448,0.0003,448,0.7356
449,0.0002,449,0.7142
450,,450,0.6962
451,,451,0.673
452,,452,0.6497
453,,453,0.6302
454,,454,0.6056
455,,455,0.5865
456,,456,0.5661
457,,457,0.5474
458,,458,0.5309
459,,459,0.5119
460,,460,0.4932
461,,461,0.4782
462,,462,0.459
463,,463,0.4413
464,,464,0.4268
465,,465,0.4126
466,,466,0.3987
467,,467,0.3861
468,,468,0.3737
469,,469,0.3585
470,,470,0.3456
471,,471,0.3347
472,,472,0.3232
473,,473,0.3103
474,,474,0.2975
475,,475,0.2863
476,,476,0.2745
477,,477,0.264
478,,478,0.2515
479,,479,0.2435
480,,480,0.2327
481,,481,0.2237
482,,482,0.2138
483,,483,0.2052
484,,484,0.1951
485,,485,0.188
486,,486,0.1784
487,,487,0.1712
488,,488,0.1629
489,,489,0.1558
490,,490,0.1483
491,,491,0.1415
492,,492,0.135
493,,493,0.1287
494,,494,0.1232
495,,495,0.1181
496,,496,0.1129
497,,497,0.1089
498,,498,0.1026
499,,499,0.0977
500,,500,0.0932
501,,501,0.0886
502,,502,0.0845
503,,503,0.0787
504,,504,0.0747
505,,505,0.0703
506,,506,0.0673
507,,507,0.0636
508,,508,0.0595
509,,509,0.0567
510,,510,0.0533
511,,511,0.0518
512,,512,0.0492
513,,513,0.0454
514,,514,0.0441
515,,515,0.0409
516,,516,0.0398
517,,517,0.0377
518,,518,0.0345
519,,519,0.0334
520,,520,0.0314
521,,521,0.0295
522,,522,0.0278
523,,523,0.025
524,,524,0.0247
525,,525,0.0221
526,,526,0.0214
527,,527,0.0199
528,,528,0.0179
529,,529,0.0171
530,,530,0.0156
531,,531,0.0146
532,,532,0.0138
533,,533,0.0116
534,,534,0.012
535,,535,0.0101
536,,536,0.0096
537,,537,0.0082
538,,538,0.0065
539,,539,0.0071
540,,540,0.006
541,,541,0.0057
542,,542,0.0055
543,,543,0.0028
544,,544,0.0037
545,,545,0.0019
546,,546,0.0025
547,,547,0.0016
548,,548,0.0006
